etf,n_panel,n_big50,worst_abs_ret,worst_date,yahoo_ov,scale_bad_days,phantom_days,max_abs_ratio_m1,scale_mode,issue
DLLL,345,6,7.136530760741948,2026-06-15,345,243,5,8.050812619317922,med=8.000,phantom=5;scale_bad=243;mode=med=8.000;jumps=6@2026-06-15
MVLL,330,2,0.6694245372154455,2026-02-02,330,228,1,2.000000421565314,med=3.000,phantom=1;scale_bad=228;mode=med=3.000;jumps=2@2026-02-02
GEVX,247,1,1.9360655174880748,2026-06-03,247,224,1,0.6666667003534995,1/3,phantom=1;scale_bad=224;mode=1/3;jumps=1@2026-06-03
VRTL,317,1,0.6537421401339871,2026-02-02,317,215,1,2.000000438538212,med=3.000,phantom=1;scale_bad=215;mode=med=3.000;jumps=1@2026-02-02
NEBX,206,1,1.795256606427095,2026-06-03,206,183,1,0.666666700070318,1/3,phantom=1;scale_bad=183;mode=1/3;jumps=1@2026-06-03
COIA,205,1,0.8189377777172269,2026-02-02,205,99,1,0.4894980280819232,,phantom=1;scale_bad=99;jumps=1@2026-02-02
SMCX,466,6,0.6812500272478377,2024-08-22,466,49,1,1.0827130429096496,,phantom=1;scale_bad=49;jumps=6@2024-08-22
EOSU,113,4,0.8673583373797298,2026-05-08,113,37,1,0.8,,phantom=1;scale_bad=37;jumps=4@2026-05-08
SNXX,110,1,6.855519576023636,2026-02-02,110,4,1,0.8333333333333334,,phantom=1;scale_bad=4;jumps=1@2026-02-02
RIOX,370,0,0.42071201506126354,2025-12-30,370,247,0,0.5304607585667471,med=1.530,scale_bad=247;mode=med=1.530
QBTZ,186,0,0.463978218256919,2025-10-13,186,159,0,0.6666666666666667,1/3,scale_bad=159;mode=1/3
TEMT,287,0,0.3802521016420638,2025-05-28,287,155,0,0.26644514394579755,med=1.266,scale_bad=155;mode=med=1.266
XBTY,281,0,0.06432392492714656,2025-08-22,281,138,0,0.3890485965661501,,scale_bad=138
CRCD,188,0,0.40044754422984874,2026-03-24,188,135,0,1.7375565138328084,1/3,scale_bad=135;mode=1/3
RKLZ,156,0,0.35507242454080523,2025-12-19,156,118,0,0.6666666666666667,1/3,scale_bad=118;mode=1/3
MSTX,470,2,0.5209579915048752,2026-02-06,470,97,0,0.3738598724736326,,scale_bad=97;jumps=2@2026-02-06
COYY,228,0,0.09823501745447916,2025-10-10,228,86,0,0.3353324752703698,,scale_bad=86
SMYY,180,0,0.0747104766262352,2026-01-02,180,42,0,0.297713454788342,,scale_bad=42
AMYY,190,0,0.07975446391558916,2025-12-19,190,33,0,0.27159733847450807,,scale_bad=33
HOYY,187,0,0.09076754860987235,2025-10-10,187,33,0,0.2756578627861582,,scale_bad=33
MAAY,160,0,0.06324225982938281,2026-02-05,160,17,0,0.21619611844920616,,scale_bad=17
INTW,344,0,0.4680758140491268,2026-04-24,344,15,0,0.20000000000000007,,scale_bad=15
SMUP,230,3,0.7698986312932456,2026-04-30,230,10,0,0.3660550236852461,,scale_bad=10;jumps=3@2026-04-30
IOYY,160,0,0.08306444346156383,2025-11-20,160,8,0,0.21635835314066865,,scale_bad=8
CORD,188,1,0.5485829780140428,2026-06-05,188,7,0,0.34446395836013277,,scale_bad=7;jumps=1@2026-06-05
QBY,143,0,0.07575502133074485,2026-01-20,143,4,0,0.2157489690956368,,scale_bad=4
SNOU,293,1,0.7351054601220772,2026-05-28,293,3,0,0.3237717239556117,,scale_bad=3;jumps=1@2026-05-28
