n_panel,n_big50,worst_abs_ret,worst_date,yahoo_ov,scale_bad_days,phantom_days,max_abs_ratio_m1,scale_mode,issue,underlying,src_etf,ret_disagree_days
403,11,2.929969436905479,2026-03-19,403,182,11,3.0,,phantom=11;scale_bad=182;jumps=11@2026-03-19;ret_disagree=11,CRWD,CRWL,11
298,5,1.362445470859002e+16,2025-07-17,298,13,5,1e+16,,phantom=5;scale_bad=13;jumps=5@2025-07-17;ret_disagree=7,LCID,LCDL,7
256,2,4.186566295883813,2026-04-20,256,13,2,4.000000375443869,,phantom=2;scale_bad=13;jumps=2@2026-04-20;ret_disagree=2,CVNA,CVNX,2
94,1,0.37469809946258015,2026-06-03,94,2,1,0.2452143585880583,,phantom=1;scale_bad=2;jumps=1@2026-06-03;ret_disagree=3,MRVL,MRVU,3
38,0,0.21448394154325878,2026-07-06,38,3,0,0.2730484491490133,,scale_bad=3;ret_disagree=3,AXTI,AXTU,3
32,0,0.1961009459883828,2026-06-25,32,3,0,0.24393727671378618,,scale_bad=3;ret_disagree=4,CBRS,CBRG,4
114,0,0.26523707364917026,2026-05-14,114,3,0,0.18490564598227444,,scale_bad=3;ret_disagree=3,ONDS,ONDG,3
33,0,0.21966510015522278,2026-06-26,33,2,0,0.18010280045503213,,ret_disagree=3,SNDK,SNDG,3
330,1,0.36523552968446293,2025-05-22,330,1,0,0.15639318551817816,,scale_bad=1;jumps=1@2025-05-22;ret_disagree=2,IONQ,IONX,2
150,1,0.4758233898288702,2026-06-01,150,1,0,0.23160538817106502,,scale_bad=1;jumps=1@2026-06-01;ret_disagree=1,OKTA,OKTG,1
100,1,0.5635178764537632,2026-05-27,100,1,0,0.18824704686292915,,scale_bad=1;jumps=1@2026-05-27;ret_disagree=2,RDW,RDWU,2
29,0,0.21441568018431,2026-06-30,29,1,0,0.17655872176466658,,ret_disagree=3,ASTS,ASTY,3
131,0,0.27212089690432006,2026-04-29,131,1,0,0.22680734637844124,,ret_disagree=3,BE,BEG,3
132,0,0.23532706179170093,2026-05-05,132,1,0,0.22255483436714663,,ret_disagree=2,CIFR,CIFG,2
75,0,0.19629423678822833,2026-06-22,75,1,0,0.15773007760867674,,ret_disagree=2,GLW,GLWG,2
114,0,0.22815422272957198,2026-06-03,114,1,0,0.1510142157655472,,ret_disagree=2,LUNR,LUNL,2
404,0,0.2182259583865318,2026-05-27,404,1,0,0.15175370221508988,,ret_disagree=2,MU,MULL,2
170,0,0.17014888824723562,2026-07-02,170,1,0,0.2050354404995094,,ret_disagree=2,NBIS,NBIG,2
121,0,0.2598207644327537,2026-06-08,121,1,0,0.3510241194940258,,ret_disagree=2,PL,PLU,2
186,0,0.33367879733856665,2026-05-21,186,1,0,0.1589098091219887,,ret_disagree=4,QBTS,QBTZ,4
296,0,0.26642853873116623,2026-02-13,296,1,0,0.22134625040584655,,ret_disagree=2,RIVN,RVNL,2
156,0,0.34219901709166867,2026-05-08,156,1,0,0.17231797077428856,,ret_disagree=4,RKLB,RKLZ,4
316,0,0.3346215198693343,2026-06-11,316,1,0,0.5029040311066597,,ret_disagree=4,SMCI,SMCZ,4
144,0,0.19414415426979548,2026-04-29,144,1,0,0.15782058733088467,,ret_disagree=2,TER,TERG,2
208,2,0.49193549162391315,2025-09-10,208,0,0,0.0,,jumps=2@2025-09-10,TOP,TOPW,0
224,1,0.354733596817012,2026-02-25,224,0,0,0.11893932705403021,,jumps=1@2026-02-25,CRCL,CRCG,0
98,1,0.3549082847237226,2026-04-17,98,0,0,0.12628342143887328,,jumps=1@2026-04-17,CRML,CRMU,0
345,1,0.46967358270124415,2026-06-01,345,0,0,0.0836600696665264,,jumps=1@2026-06-01,DELL,DLLL,0
331,1,0.41929314973114495,2025-12-18,331,0,0,0.048517537710621284,,jumps=1@2025-12-18,DJT,DJTU,0
