date,plan_date,ETF,Underlying,sleeve,current_gross_usd,desired_gross_usd,next_gross_usd,hedge_net_pct_before,hedge_net_pct_after,target_age,requested_turnover_usd,allocated_turnover_usd,deferred_turnover_usd,block_reason,priority,hedge_repair_leg,hedge_reserve_usd,reserve_committed_usd,tracking_budget_usd,prior_structural_gross_usd,raw_plan_gross_usd,effective_plan_gross_usd,blended_structural_gross_usd,target_blend_alpha,blend_status
2026-03-02,2026-02-28,AMUU,AMD,core_leveraged,0.0,42170.65391127825,0.0,,,1,42170.65391127825,0.0,42170.65391127825,entry_confirmation,confirmation,,,,,,,,,,
2026-03-02,2026-02-28,YINN,FXI,core_leveraged,0.0,34745.95415039797,0.0,,,1,34745.95415039797,0.0,34745.95415039797,entry_confirmation,confirmation,,,,,,,,,,
2026-03-02,2026-02-28,SOXL,SOXX,core_leveraged,0.0,36247.839901702835,0.0,,,1,36247.839901702835,0.0,36247.839901702835,entry_confirmation,confirmation,,,,,,,,,,
2026-03-02,2026-02-28,URAA,URA,core_leveraged,0.0,81392.1132284801,0.0,,,1,81392.1132284801,0.0,81392.1132284801,entry_confirmation,confirmation,,,,,,,,,,
2026-03-02,2026-02-28,ETU,ETHA,core_leveraged,0.0,42804.55210108513,0.0,,,1,42804.55210108513,0.0,42804.55210108513,entry_confirmation,confirmation,,,,,,,,,,
2026-03-02,2026-02-28,SMUP,SMR,core_leveraged,0.0,192779.99999999997,0.0,,,1,192779.99999999997,0.0,192779.99999999997,entry_confirmation,confirmation,,,,,,,,,,
2026-03-02,2026-02-28,BMNU,BMNR,core_leveraged,0.0,177493.89073656802,0.0,,,1,177493.89073656802,0.0,177493.89073656802,entry_confirmation,confirmation,,,,,,,,,,
2026-03-02,2026-02-28,XRPK,XRPZ,core_leveraged,0.0,44258.41539234793,0.0,,,1,44258.41539234793,0.0,44258.41539234793,entry_confirmation,confirmation,,,,,,,,,,
2026-03-02,2026-02-28,COZX,CORZ,core_leveraged,0.0,97699.19451446661,0.0,,,1,97699.19451446661,0.0,97699.19451446661,entry_confirmation,confirmation,,,,,,,,,,
2026-03-02,2026-02-28,NEBX,NBIS,core_leveraged,0.0,42670.96001879267,0.0,,,1,42670.96001879267,0.0,42670.96001879267,entry_confirmation,confirmation,,,,,,,,,,
2026-03-02,2026-02-28,CRMU,CRML,core_leveraged,0.0,59140.71601047249,0.0,,,1,59140.71601047249,0.0,59140.71601047249,entry_confirmation,confirmation,,,,,,,,,,
2026-03-02,2026-02-28,UECG,UEC,core_leveraged,0.0,192779.99999999997,0.0,,,1,192779.99999999997,0.0,192779.99999999997,entry_confirmation,confirmation,,,,,,,,,,
2026-03-02,2026-02-28,DNNG,DNN,core_leveraged,0.0,115943.49008895244,0.0,,,1,115943.49008895244,0.0,115943.49008895244,entry_confirmation,confirmation,,,,,,,,,,
2026-03-02,2026-02-28,RDWU,RDW,core_leveraged,0.0,100527.36763963796,0.0,,,1,100527.36763963796,0.0,100527.36763963796,entry_confirmation,confirmation,,,,,,,,,,
