ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_underlying_annual,vol_etf_annual,gross_decay_annual,net_decay_annual,net_edge_p50_annual,edge_used_for_prod_replay,blended_gross_decay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,wrapper_utility,shared_underlying_group_size,shared_underlying_wrapper_rank,shared_underlying_group_score,shared_underlying_weight_pre_caps,shared_underlying_allocation_reason,shared_underlying_incumbent,shared_underlying_switch_blocked,shared_underlying_capacity_usd,shared_underlying_capacity_binding,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,execution_policy,reduce_only,keep_open,hard_exit,model_gross_target_usd,model_long_usd,model_short_usd,_plan_date
AMUU,AMD,2.007797,227,ols,0.0212699999999999,0.0150299999999999,0.0062399999999999,50000,0.0062399999999999,False,False,False,True,False,False,False,True,False,False,False,False,0.555154,1.311935,0.119098,0.112858,0.112858,net_decay_annual,,0.0062399999999999,ETF_LS,36962.10123917777,-18409.28203358097,36962.10123917777,-18409.28203358097,36962.10123917777,0.0,-0.0,36962.10123917777,core_leveraged,0.5,1.0,55371.383272758736,0.0669102263363587,1.0,1.0,0.0088026183576219,0.0118188651596069,primary,AMUU,False,,,1.0,0.0,,False,0.0,0.0,25449.663018584564,16988.43274985813,-8461.230268726435,16988.43274985813,-8461.230268726435,haircut,haircut,-29921.72025417417,2.0,normal,False,False,False,25449.663018584564,16988.43274985813,-8461.230268726435,2026-03-02
ASMU,ASML,2.096419,12,ols_short_history,0.052848,-0.016548,0.069396,1000,0.069396,False,False,False,True,False,False,False,True,False,False,False,False,0.432117,0.672397,0.469093,0.3996969999999999,0.3996969999999999,net_decay_annual,,0.069396,ETF_LS,285476.5686911236,-136173.43130887652,285476.5686911236,-136173.43130887652,285476.5686911236,0.0,-0.0,285476.5686911236,core_leveraged,0.5,1.0,421650.00000000006,0.2294152709939186,1.0,1.0,0.0760482221729893,0.09,primary,,False,,,1.0,0.0,,False,0.0,0.0,213581.3764793049,144604.47881806944,-68976.8976612354,144604.47881806944,-68976.8976612354,haircut,pair_cap,-208068.6235206952,1.974188981036257,normal,False,False,False,213581.3764793049,144604.47881806944,-68976.8976612354,2026-03-02
AVL,AVGO,1.987029,346,ols,0.058547,-0.022247,0.080794,30000,0.080794,False,False,False,False,True,False,False,False,True,True,False,False,0.53692,1.087708,0.109165,0.0283709999999999,0.0283709999999999,net_decay_annual,,0.080794,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-03-02
FRDU,F,1.981741,151,ols,0.0025,0.0338,0.0,100,0.0,False,False,False,True,False,False,False,True,False,False,True,False,0.345517,0.606366,0.120488,0.120488,0.120488,net_decay_annual,,0.0,ETF_LS,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,core_leveraged,0.5,1.0,0.0,-inf,1.0,,0.0,0.0,not_selected,,False,,,1.0,0.0,,False,0.0,0.0,29528.098285487,19625.126067079364,-9902.972218407636,19625.126067079364,-9902.972218407636,haircut,haircut,29528.098285487,0.0,normal,False,False,False,29528.098285487,19625.126067079364,-9902.972218407636,2026-03-02
METU,META,1.998737,433,ols,0.063386,-0.027086,0.090472,650000,0.090472,False,False,False,False,True,False,False,False,True,True,False,False,0.35365,0.709949,0.114243,0.023771,0.023771,net_decay_annual,,0.090472,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-03-02
MRVU,MRVL,1.963168,11,ols_short_history,0.038072,-0.001772,0.039844,1000,0.039844,False,False,False,True,False,False,False,True,False,False,False,False,0.624385,0.539307,0.182199,0.142355,0.142355,net_decay_annual,,0.039844,ETF_LS,56724.44907900044,-28894.342755688987,56724.44907900044,-28894.342755688987,56724.44907900044,0.0,-0.0,56724.44907900044,core_leveraged,0.5,1.0,85618.79183468943,0.085833065977662,1.0,1.0,0.0136111742964571,0.0182750889721855,primary,,False,,,1.0,0.0,,False,0.0,0.0,35068.76227873992,23233.8739839352,-11834.888294804725,23233.8739839352,-11834.888294804725,haircut,haircut,-50550.02955594951,2.0,normal,False,False,False,35068.76227873992,23233.8739839352,-11834.888294804725,2026-03-02
PALU,PANW,2.005106,232,ols,0.059721,-0.0234209999999999,0.083142,550000,0.083142,False,False,False,False,True,False,False,False,True,True,False,False,0.340956,0.723322,0.109201,0.026059,0.026059,net_decay_annual,,0.083142,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-03-02
TSLL,TSLA,1.985269,499,ols,0.072091,-0.0357909999999999,0.107882,400000,0.107882,False,False,False,False,True,False,False,False,True,True,False,False,0.628014,1.247605,0.103548,-0.004334,-0.004334,net_decay_annual,,0.107882,ETF_LS,0.0,0.0,0.0,0.0,64193.37644331247,0.0,-0.0,64193.37644331247,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-03-02
YINN,FXI,2.974053,499,ols,0.0139379999999999,0.022362,0.0,550000,0.0,False,False,False,True,False,False,False,True,False,False,False,False,0.287214,0.856256,0.127243,0.127243,0.127243,net_decay_annual,,0.0,ETF_LS,30523.033967859366,-10263.110296911103,30523.033967859366,-10263.110296911103,30523.033967859366,0.0,-0.0,30523.033967859366,core_leveraged,0.5,1.0,40786.14426477048,0.0561852570462806,1.0,1.0,0.0064839424450195,0.0087056871429606,primary,YINN,False,,,1.0,0.0,,False,0.0,0.0,23958.896064045963,17930.06452504888,-6028.831538997079,17930.06452504888,-6028.831538997079,haircut,haircut,-16827.248200724513,1.7023382110654257,normal,False,False,False,23958.896064045963,17930.06452504888,-6028.831538997079,2026-03-02
SOXL,SOXX,2.959538,499,ols,0.0084219999999999,0.027878,0.0,1400000,0.0,False,False,False,True,False,False,False,True,False,False,False,False,0.375113,1.111116,0.13025,0.13025,0.13025,net_decay_annual,,0.0,ETF_LS,31961.89646604683,-10799.623612214757,31961.89646604683,-10799.623612214757,31961.89646604683,0.0,-0.0,31961.89646604683,core_leveraged,0.5,1.0,42761.52007826158,0.0577244483876264,1.0,1.0,0.0067979761276058,0.0091273255236417,primary,SOXL,False,,,1.0,0.0,,False,0.0,0.0,25050.25187697925,18723.69259734126,-6326.559279637992,18723.69259734126,-6326.559279637992,haircut,haircut,-17711.268201282328,1.7070295455814828,normal,False,False,False,25050.25187697925,18723.69259734126,-6326.559279637992,2026-03-02
ERX,XLE,1.985662,499,ols,0.060934,-0.024634,0.085568,40000,0.085568,False,False,False,False,True,False,False,False,True,True,False,False,0.219811,0.437082,0.063119,-0.022449,-0.022449,net_decay_annual,,0.085568,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-03-02
