ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,model_gross_target_usd,model_long_usd,model_short_usd,execution_policy,purgatory_reason,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,reduce_only,keep_open,hard_exit,_plan_date
AMUU,AMD,2.007903,239,ols,0.039306,-0.002906,0.042212,30000,0.042212,False,False,False,True,False,False,False,True,False,False,False,False,1.296562,0.491428,0.555201,0.311912,0.482167,0.4492159999999999,0.439955,0.50197575,0.6023709,0.50197575,0.6023709,0.4492159999999999,net_decay_annual,0.042212,ETF_LS,14367.429368546218,-7155.439963258293,14367.429368546218,-7155.439963258293,35288.75019712855,0.0,-0.0,35288.75019712855,core_leveraged,0.5,1.0,20839.137664060232,13911.009441820275,-6928.128222239956,13911.009441820275,-6928.128222239956,20839.137664060232,13911.009441820275,-6928.128222239956,normal,,21522.86933180451,1.0,0.0,,False,0.0,0.0,haircut,haircut,-683.7316677442795,1.0328099789332197,False,False,False,2026-03-18
AMZU,AMZN,1.986642,500,ols,0.040983,-0.004583,0.0455659999999999,85000,0.0455659999999999,False,False,False,True,False,False,False,True,False,False,False,False,0.629522,0.2105,0.316701,0.098299,0.2105,0.164934,0.164934,0.4966605,0.5959926,0.5,0.5959926,0.164934,net_decay_annual,0.0455659999999999,ETF_LS,2298.6600927277595,-1157.0580369929555,2298.6600927277595,-1157.0580369929555,4114.450277714564,0.0,-0.0,4114.450277714564,core_leveraged,0.5,1.0,3345.937975241193,2225.6369899737274,-1120.300985267465,2225.6369899737274,-1120.300985267465,3345.937975241193,2225.6369899737274,-1120.300985267465,normal,,3455.7181297207158,1.0,0.0,,False,0.0,0.0,haircut,haircut,-109.78015447952248,1.0328099789332197,False,False,False,2026-03-18
AVL,AVGO,1.987163,358,ols,0.045362,-0.008962,0.054324,100000,0.054324,False,False,False,True,False,False,False,True,False,False,False,False,1.078871,0.37821,0.53494,0.280674,0.37821,0.323886,0.323886,0.49679075,0.5961489,0.5,0.5961489,0.323886,net_decay_annual,0.054324,ETF_LS,7873.3174624245075,-3962.0894020392425,7873.3174624245075,-3962.0894020392425,14278.60472900335,0.0,-0.0,14278.60472900335,core_leveraged,0.5,1.0,11459.423423356577,7623.200417328256,-3836.223006028321,7623.200417328256,-3836.223006028321,11459.423423356577,7623.200417328256,-3836.223006028321,normal,,11835.40686446375,1.0,0.0,,False,0.0,0.0,haircut,haircut,-375.98344110717335,1.0328099789332197,False,False,False,2026-03-18
BOEU,BA,1.988941,226,ols,0.046439,-0.010039,0.056478,10000,0.056478,False,False,False,True,False,False,False,True,False,False,False,False,0.58699,0.187622,0.350885,0.121085,0.180757,0.131144,0.124279,0.49723525,0.5966823,0.5,0.5966823,0.131144,net_decay_annual,0.056478,ETF_LS,1428.4021011349512,-718.172183657007,1428.4021011349512,-718.172183657007,1428.4021011349512,0.0,-0.0,1428.4021011349512,core_leveraged,0.5,1.0,2078.382595614671,1383.025077478759,-695.357518135912,1383.025077478759,-695.357518135912,2078.382595614671,1383.025077478759,-695.357518135912,normal,,2146.5742847919582,1.0,0.0,,False,0.0,0.0,haircut,haircut,-68.19168917728712,1.0328099789332197,False,False,False,2026-03-18
CONX,COIN,1.998505,80,ols,0.101174,-0.064774,0.1659479999999999,10000,0.1659479999999999,False,False,False,True,False,False,False,True,False,False,False,False,1.538812,0.678339,0.796202,0.632517,0.647064,0.512391,0.481116,0.49962625,0.5995515,0.5,0.5995515,0.512391,net_decay_annual,0.1659479999999999,ETF_LS,16297.88144369898,-8155.03661171675,16297.88144369898,-8155.03661171675,70094.1557838112,0.0,-0.0,70094.1557838112,core_leveraged,0.5,1.0,23676.105531699974,15780.135529415513,-7895.970002284464,15780.135529415513,-7895.970002284464,23676.105531699974,15780.135529415513,-7895.970002284464,normal,,24452.91805541573,1.0,0.0,,False,0.0,0.0,haircut,haircut,-776.8125237157583,1.0328099789332197,False,False,False,2026-03-18
CSCL,CSCO,2.027408,183,ols,0.062428,-0.026028,0.0884559999999999,8000,0.0884559999999999,False,False,False,True,False,False,False,True,False,False,False,False,0.53078,0.193367,0.235947,0.057981,0.156297,0.104911,0.067841,0.506852,0.6082223999999999,0.506852,0.6082223999999999,0.104911,net_decay_annual,0.0884559999999999,ETF_LS,773.4243563535051,-381.48431709527887,773.4243563535051,-381.48431709527887,773.4243563535051,0.0,-0.0,773.4243563535051,core_leveraged,0.5,1.0,1118.2199020207754,748.8544573827302,-369.36544463804535,748.8544573827302,-369.36544463804535,1118.2199020207754,748.8544573827302,-369.36544463804535,normal,,1154.908673448784,1.0,0.0,,False,0.0,0.0,haircut,haircut,-36.68877142800852,1.0328099789332197,False,False,False,2026-03-18
GGLL,GOOGL,1.989903,500,ols,0.042527,-0.006127,0.048654,150000,0.048654,False,False,False,True,False,False,False,True,False,False,False,False,0.589863,0.193791,0.296243,0.086435,0.193791,0.145137,0.145137,0.49747575,0.5969709,0.5,0.5969709,0.145137,net_decay_annual,0.048654,ETF_LS,1785.9436851104658,-897.5028858745708,1785.9436851104658,-897.5028858745708,3702.565980249994,0.0,-0.0,3702.565980249994,core_leveraged,0.5,1.0,2598.199693768204,1729.2083941279802,-868.9912996402239,1729.2083941279802,-868.9912996402239,2598.199693768204,1729.2083941279802,-868.9912996402239,normal,,2683.4465709850365,1.0,0.0,,False,0.0,0.0,haircut,haircut,-85.24687721683267,1.0328099789332197,False,False,False,2026-03-18
HODU,HOOD,2.007594,80,ols,0.104684,-0.068284,0.172968,35000,0.172968,False,False,False,True,False,False,False,True,False,False,False,False,1.439187,0.63624,0.705638,0.503611,0.545715,0.463272,0.3727469999999999,0.5018985,0.6022782,0.5018985,0.6022782,0.463272,net_decay_annual,0.172968,ETF_LS,13317.363784010684,-6633.494513338196,13317.363784010684,-6633.494513338196,45641.41532196659,0.0,-0.0,45641.41532196659,core_leveraged,0.5,1.0,19317.06577618077,12894.30200680872,-6422.763769372054,12894.30200680872,-6422.763769372054,19317.06577618077,12894.30200680872,-6422.763769372054,normal,,19950.85829734888,1.0,0.0,,False,0.0,0.0,haircut,haircut,-633.7925211681068,1.0328099789332197,False,False,False,2026-03-18
ELIL,LLY,1.99116,244,ols,0.0912689999999999,-0.054869,0.146138,1000,0.146138,False,False,False,True,False,False,False,True,False,False,False,False,0.853222,0.286458,0.372973,0.13727,0.281722,0.14032,0.1355839999999999,0.49779,0.597348,0.5,0.597348,0.14032,net_decay_annual,0.146138,ETF_LS,1157.1883332815562,-581.1629066883405,1157.1883332815562,-581.1629066883405,1157.1883332815562,0.0,-0.0,1157.1883332815562,core_leveraged,0.5,1.0,1683.127850648214,1120.427142345009,-562.7007083032048,1120.427142345009,-562.7007083032048,1683.127850648214,1120.427142345009,-562.7007083032048,normal,,1738.3512399698966,1.0,0.0,,False,0.0,0.0,haircut,haircut,-55.22338932168259,1.0328099789332192,False,False,False,2026-03-18
METU,META,1.998707,445,ols,0.079979,-0.043579,0.123558,200000,0.123558,False,False,False,True,False,False,False,True,False,False,False,False,0.706906,0.233063,0.352105,0.123738,0.233063,0.1095049999999999,0.1095049999999999,0.49967675,0.5996121,0.5,0.5996121,0.1095049999999999,net_decay_annual,0.123558,ETF_LS,710.5923443581977,-355.52601975086776,710.5923443581977,-355.52601975086776,4576.22331868211,0.0,-0.0,4576.22331868211,core_leveraged,0.5,1.0,1032.2502549890637,688.0184727612357,-344.23178222782815,688.0184727612357,-344.23178222782815,1032.2502549890637,688.0184727612357,-344.23178222782815,normal,,1066.1183641090654,1.0,0.0,,False,0.0,0.0,haircut,haircut,-33.86810912000169,1.0328099789332197,False,False,False,2026-03-18
