ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,wrapper_utility,shared_underlying_group_size,shared_underlying_wrapper_rank,shared_underlying_group_score,shared_underlying_weight_pre_caps,shared_underlying_allocation_reason,shared_underlying_incumbent,shared_underlying_switch_blocked,shared_underlying_capacity_usd,shared_underlying_capacity_binding,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,execution_policy,reduce_only,keep_open,hard_exit,model_gross_target_usd,model_long_usd,model_short_usd,_plan_date
AMUU,AMD,2.007902,241,ols,0.047087,-0.010687,0.057774,25000,0.057774,False,False,False,True,False,False,False,True,False,False,False,False,1.290403,0.496459,0.555125,0.311826,0.4884,0.438685,0.430626,0.5019755,0.6023706,0.5019755,0.6023706,0.438685,net_decay_annual,0.057774,ETF_LS,22620.004531517912,-11265.492305659296,22620.004531517912,-11265.492305659296,22620.004531517912,0.0,-0.0,22620.004531517912,core_leveraged,0.5,1.0,33885.49683717721,0.2600733791673878,3.0,1.0,0.0947147955123943,0.0072327634657795,primary,AMUU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-33885.49683717721,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-21
AMZU,AMZN,1.987011,500,ols,0.041668,-0.005268,0.046936,80000,0.046936,False,False,False,True,False,False,False,True,False,False,False,False,0.629254,0.211156,0.316514,0.098238,0.211156,0.16422,0.16422,0.49675275,0.5961033,0.5,0.5961033,0.16422,net_decay_annual,0.046936,ETF_LS,4094.1826042110247,-2060.4730442916643,4094.1826042110247,-2060.4730442916643,4094.1826042110247,0.0,-0.0,4094.1826042110247,core_leveraged,0.5,1.0,6154.6556485026895,0.0981241356721366,2.0,1.0,0.017203140151617,0.0013136938417294,primary,AMZU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-6154.6556485026895,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-21
AVL,AVGO,1.987312,360,ols,0.0443649999999999,-0.007965,0.0523299999999999,95000,0.0523299999999999,False,False,False,True,False,False,False,True,False,False,False,False,1.075844,0.378856,0.53304,0.278747,0.378856,0.326526,0.326526,0.496828,0.5961936,0.5,0.5961936,0.326526,net_decay_annual,0.0523299999999999,ETF_LS,13628.981451649037,-6857.997864275481,13628.981451649037,-6857.997864275481,13628.981451649037,0.0,-0.0,13628.981451649037,core_leveraged,0.5,1.0,20486.97931592452,0.1950824615860164,2.0,1.0,0.0572640284986326,0.0043728877942208,primary,AVL,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-20486.97931592452,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-21
BOEU,BA,1.990062,228,ols,0.047556,-0.011156,0.058712,9000,0.058712,False,False,False,True,False,False,False,True,False,False,False,False,0.589211,0.193871,0.350665,0.121139,0.186944,0.1351589999999999,0.128232,0.4975155,0.5970186,0.5,0.5970186,0.1351589999999999,net_decay_annual,0.058712,ETF_LS,2907.359395660037,-1460.9391042389825,2907.359395660037,-1460.9391042389825,2907.359395660037,0.0,-0.0,2907.359395660037,core_leveraged,0.5,1.0,4368.29849989902,0.0806668344671419,1.0,1.0,0.0122100171983047,0.0009324009604907,primary,BOEU,False,,,1.0,0.0,,False,0.0,0.0,2843.670820175623,1892.630065778014,-951.0407543976088,1892.630065778014,-951.0407543976088,haircut,haircut,-1524.6276797233968,1.5361477386574711,normal,False,False,False,2843.670820175623,1892.630065778014,-951.0407543976088,2026-03-21
GGLL,GOOGL,1.990692,500,ols,0.043852,-0.0074519999999999,0.051304,45000,0.051304,False,False,False,True,False,False,False,True,False,False,False,False,0.589983,0.195827,0.296197,0.086512,0.195827,0.144523,0.144523,0.497673,0.5972076,0.5,0.5972076,0.144523,net_decay_annual,0.051304,ETF_LS,3957.8652621860488,-1988.1856470946027,3957.8652621860488,-1988.1856470946027,3957.8652621860488,0.0,-0.0,3957.8652621860488,core_leveraged,0.5,1.0,5946.050909280652,0.0862350688980051,2.0,1.0,0.016620060159806,0.0012691677501132,primary,GGLL,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-5946.050909280652,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-21
HODU,HOOD,2.007825,82,ols,0.097848,-0.061448,0.159296,30000,0.159296,False,False,False,True,False,False,False,True,False,False,False,False,1.41973,0.649829,0.703707,0.501031,0.549449,0.490533,0.3901529999999999,0.50195625,0.6023474999999999,0.50195625,0.6023474999999999,0.490533,net_decay_annual,0.159296,ETF_LS,0.0,-0.0,0.0,-0.0,36681.63528614693,0.0,-0.0,36681.63528614693,core_leveraged,0.5,1.0,0.0,0.2908197094612487,3.0,2.0,0.1534885534363895,0.0117209396452194,not_selected,ROBN,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,93979.47773831096,62734.48252139808,-31244.99521691287,62734.48252139808,-31244.99521691287,haircut,haircut,93979.47773831096,0.0,normal,False,False,False,93979.47773831096,62734.48252139808,-31244.99521691287,2026-03-21
ELIL,LLY,1.991174,246,ols,0.090095,-0.053695,0.14379,1000,0.14379,False,False,False,True,False,False,False,True,False,False,False,False,0.848396,0.286847,0.372694,0.137067,0.283281,0.143057,0.139491,0.4977935,0.5973522,0.5,0.5973522,0.143057,net_decay_annual,0.14379,ETF_LS,3209.3987120950915,-1611.8122836553168,3209.3987120950915,-1611.8122836553168,3209.3987120950915,0.0,-0.0,3209.3987120950915,core_leveraged,0.5,1.0,4821.210995750408,0.0853448272722963,1.0,1.0,0.0134759722065992,0.0010290738518143,primary,,False,,,1.0,0.0,,False,0.0,0.0,2313.603150363305,1540.1265320310697,-773.476618332235,1540.1265320310697,-773.476618332235,haircut,haircut,-2507.607845387103,2.0,normal,False,False,False,2313.603150363305,1540.1265320310697,-773.476618332235,2026-03-21
METU,META,1.998784,447,ols,0.0822519999999999,-0.045852,0.128104,100000,0.128104,False,False,False,True,False,False,False,True,False,False,False,False,0.705719,0.23437,0.352025,0.123696,0.23437,0.106266,0.106266,0.499696,0.5996351999999999,0.5,0.5996351999999999,0.106266,net_decay_annual,0.128104,ETF_LS,1900.4287754819445,-950.7924695624664,1900.4287754819445,-950.7924695624664,1900.4287754819445,0.0,-0.0,1900.4287754819445,core_leveraged,0.5,1.0,2851.221245044411,0.0632149698590284,1.0,1.0,0.0079695699455906,0.000608585111002,primary,METU,False,,,1.0,0.0,,False,0.0,0.0,1214.6854461681432,809.6261133958784,-405.0593327722648,809.6261133958784,-405.0593327722648,haircut,haircut,-1636.5357988762676,2.0,normal,False,False,False,1214.6854461681432,809.6261133958784,-405.0593327722648,2026-03-21
MSFU,MSFT,1.990053,500,ols,0.040778,-0.004378,0.045156,100000,0.045156,False,False,False,True,False,False,False,True,False,False,False,False,0.476563,0.158005,0.239223,0.056377,0.158005,0.112849,0.112849,0.49751325,0.5970159,0.5,0.5970159,0.112849,net_decay_annual,0.045156,ETF_LS,2314.4327804405434,-1163.000573572937,2314.4327804405434,-1163.000573572937,2314.4327804405434,0.0,-0.0,2314.4327804405434,core_leveraged,0.5,1.0,3477.4333540134803,0.0673518040199678,2.0,1.0,0.009719922083952,0.000742248314624,primary,MSFU,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-3477.4333540134803,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-21
MUU,MU,1.994024,360,ols,0.045461,-0.009061,0.054522,80000,0.054522,False,False,False,True,False,False,False,True,False,False,False,False,1.256407,0.510057,0.601767,0.358884,0.510057,0.4555349999999999,0.4555349999999999,0.498506,0.5982071999999999,0.5,0.5982071999999999,0.4555349999999999,net_decay_annual,0.054522,ETF_LS,24326.97304637358,-12199.939943738682,24326.97304637358,-12199.939943738682,24326.97304637358,0.0,-0.0,24326.97304637358,core_leveraged,0.5,1.0,36526.91299011226,0.2714713263171958,2.0,1.0,0.1020979303086914,0.0077965662732363,primary,MUU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,51831.15474039823,34519.61858023444,-17311.53616016379,34519.61858023444,-17311.53616016379,haircut,haircut,15304.241750285968,0.7047289062545709,normal,False,False,False,51831.15474039823,34519.61858023444,-17311.53616016379,2026-03-21
