ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,include_for_algo,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,model_gross_target_usd,model_long_usd,model_short_usd,execution_policy,purgatory_reason,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,reduce_only,keep_open,hard_exit,_plan_date
AMUU,AMD,2.007876,244,ols,0.058005,-0.021605,0.07961,45000,0.07961,False,False,False,True,False,False,False,False,True,False,False,False,1.292815,0.498029,0.558049,0.315107,0.492222,0.418419,0.412612,0.501969,0.6023628,0.501969,0.6023628,0.418419,net_decay_annual,0.07961,ETF_LS,8146.167970374531,-4057.1070974375566,8146.167970374531,-4057.1070974375566,23733.49746650601,0.0,-0.0,23733.49746650601,core_leveraged,0.5,1.0,12146.664359988818,8108.378087553112,-4038.286272435704,8108.378087553112,-4038.286272435704,12146.664359988818,8108.378087553112,-4038.286272435704,normal,,12203.275067812088,1.0,0.0,,False,0.0,0.0,haircut,haircut,-56.61070782327079,1.0046605970285758,False,False,False,2026-03-25
AMZU,AMZN,1.987911,500,ols,0.045073,-0.008673,0.053746,20000,0.053746,False,False,False,True,False,False,False,False,True,False,False,False,0.631845,0.211715,0.317678,0.099097,0.211715,0.1579689999999999,0.1579689999999999,0.49697775,0.5963733,0.5,0.5963733,0.1579689999999999,net_decay_annual,0.053746,ETF_LS,1386.4980306330426,-697.464841551278,1386.4980306330426,-697.464841551278,2625.2568736949024,0.0,-0.0,2625.2568736949024,core_leveraged,0.5,1.0,2074.2954171268707,1380.0660986743228,-694.2293184525479,1380.0660986743228,-694.2293184525479,2074.2954171268707,1380.0660986743228,-694.2293184525479,normal,,2083.9628721843205,1.0,0.0,,False,0.0,0.0,haircut,haircut,-9.667455057449844,1.0046605970285758,False,False,False,2026-03-25
ASMU,ASML,1.982672,29,ols_short_history,0.052956,-0.016556,0.069512,400,0.069512,False,False,False,True,False,False,False,False,True,False,True,False,0.817629,0.280421,0.434267,0.183714,0.194843,0.2109089999999999,0.1253309999999999,0.495668,0.5948015999999999,0.5,0.5948015999999999,0.2109089999999999,net_decay_annual,0.069512,ETF_LS,2313.495698372044,-1166.857502588448,2313.495698372044,-1166.857502588448,3456.081738604101,0.0,-0.0,3456.081738604101,core_leveraged,0.5,1.0,3464.20792380444,2302.763445898576,-1161.4444779058642,2302.763445898576,-1161.4444779058642,3464.20792380444,2302.763445898576,-1161.4444779058642,normal,no_locate,3480.353200960492,1.0,0.0,,False,0.0,0.0,haircut,haircut,-16.14527715605209,1.004660597028576,False,False,False,2026-03-25
AVL,AVGO,1.987481,363,ols,0.045099,-0.008699,0.053798,100000,0.053798,False,False,False,True,False,False,False,False,True,False,False,False,1.074969,0.378967,0.534161,0.279992,0.378967,0.325169,0.325169,0.49687025,0.5962443,0.5,0.5962443,0.325169,net_decay_annual,0.053798,ETF_LS,5322.376252871145,-2677.9507592128653,5322.376252871145,-2677.9507592128653,9948.826733961016,0.0,-0.0,9948.826733961016,core_leveraged,0.5,1.0,7963.213682059491,5297.6858738292485,-2665.5278082302416,5297.6858738292485,-2665.5278082302416,7963.213682059491,5297.6858738292485,-2665.5278082302416,normal,,8000.327012084011,1.0,0.0,,False,0.0,0.0,haircut,haircut,-37.11333002452011,1.0046605970285758,False,False,False,2026-03-25
BOEU,BA,1.992081,231,ols,0.05301,-0.01661,0.06962,45000,0.06962,False,False,False,True,False,False,False,False,True,False,False,False,0.589612,0.199692,0.351012,0.12175,0.193197,0.130072,0.123577,0.49802025,0.5976243,0.5,0.5976243,0.130072,net_decay_annual,0.06962,ETF_LS,895.8714764233184,-449.7163902588893,895.8714764233184,-449.7163902588893,895.8714764233184,0.0,-0.0,895.8714764233184,core_leveraged,0.5,1.0,1339.3457160178991,891.715549582599,-447.63016643530005,891.715549582599,-447.63016643530005,1339.3457160178991,891.715549582599,-447.63016643530005,normal,,1345.5878666822075,1.0,0.0,,False,0.0,0.0,haircut,haircut,-6.24215066430861,1.0046605970285758,False,False,False,2026-03-25
BABU,BABA,2.025942,28,ols_short_history,0.047421,-0.011021,0.058442,15000,0.058442,False,False,False,True,False,False,False,False,True,False,False,False,0.721226,0.210908,0.443809,0.204697,0.205387,0.152466,0.146945,0.5064855,0.6077826000000001,0.5064855,0.6077826000000001,0.152466,net_decay_annual,0.058442,ETF_LS,1266.299259057479,-625.0422070609519,1266.299259057479,-625.0422070609519,5696.453289608415,0.0,-0.0,5696.453289608415,core_leveraged,0.5,1.0,1882.5675772617517,1260.424926390799,-622.1426508709524,1260.424926390799,-622.1426508709524,1882.5675772617517,1260.424926390799,-622.1426508709524,normal,,1891.3414661184308,1.0,0.0,,False,0.0,0.0,haircut,haircut,-8.773888856679378,1.0046605970285758,False,False,False,2026-03-25
CONX,COIN,2.004225,85,ols,0.148801,-0.112401,0.261202,200,0.261202,False,False,False,True,False,False,False,False,True,False,True,False,1.536486,0.714774,0.791507,0.630459,0.658899,0.453572,0.3976969999999999,0.50105625,0.6012675,0.50105625,0.6012675,0.453572,net_decay_annual,0.261202,ETF_LS,7789.136966643497,-3886.358550883008,7789.136966643497,-3886.358550883008,46094.815251636704,0.0,-0.0,46094.815251636704,core_leveraged,0.5,1.0,11621.33316670169,7753.003342303821,-3868.32982439787,7753.003342303821,-3868.32982439787,11621.33316670169,7753.003342303821,-3868.32982439787,normal,no_locate,11675.495517526504,1.0,0.0,,False,0.0,0.0,haircut,haircut,-54.162350824813984,1.0046605970285754,False,False,False,2026-03-25
FRDU,F,1.982872,169,ols,,,,0,0.0,False,True,False,False,False,False,False,False,True,False,True,False,0.622161,0.212763,0.345931,0.116611,0.181094,0.212763,0.181094,0.495718,1.0,0.5,1.0,0.212763,net_decay_annual,,ETF_LS,2730.5822700176004,-1377.0844865516283,2730.5822700176004,-1377.0844865516283,2730.5822700176004,0.0,-0.0,2730.5822700176004,core_leveraged,0.5,1.0,4088.611386490351,2717.9151626864627,-1370.6962238038875,2717.9151626864627,-1370.6962238038875,4088.611386490351,2717.9151626864627,-1370.6962238038875,normal,no_locate,4107.666756569229,1.0,0.0,,False,0.0,0.0,haircut,haircut,-19.055370078877782,1.0046605970285758,False,False,False,2026-03-25
GGLL,GOOGL,1.993489,500,ols,0.048886,-0.0124859999999999,0.061372,90000,0.061372,False,False,False,True,False,False,False,False,True,False,False,False,0.593356,0.198522,0.297482,0.087633,0.198522,0.13715,0.13715,0.49837225,0.5980467,0.5,0.5980467,0.13715,net_decay_annual,0.061372,ETF_LS,1026.5976260996126,-514.9753151884022,1026.5976260996126,-514.9753151884022,3496.989605815392,0.0,-0.0,3496.989605815392,core_leveraged,0.5,1.0,1534.4216204431957,1021.8352637058914,-512.5863567373041,1021.8352637058914,-512.5863567373041,1534.4216204431957,1021.8352637058914,-512.5863567373041,normal,,1541.572941288015,1.0,0.0,,False,0.0,0.0,haircut,haircut,-7.1513208448195655,1.0046605970285756,False,False,False,2026-03-25
HODU,HOOD,2.009173,85,ols,0.094027,-0.057627,0.151654,10000,0.151654,False,False,False,True,False,False,False,False,True,False,False,False,1.427367,0.661095,0.704941,0.5038,0.556856,0.509441,0.405202,0.50229325,0.6027519,0.50229325,0.6027519,0.509441,net_decay_annual,0.151654,ETF_LS,10931.82075385082,-5440.955434823592,10931.82075385082,-5440.955434823592,32250.485910851363,0.0,-0.0,32250.485910851363,core_leveraged,0.5,1.0,16296.823262601503,10881.10829287344,-5415.714969728063,10881.10829287344,-5415.714969728063,16296.823262601503,10881.10829287344,-5415.714969728063,normal,,16372.77618867441,1.0,0.0,,False,0.0,0.0,haircut,haircut,-75.95292607290685,1.0046605970285758,False,False,False,2026-03-25
