ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,include_for_algo,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,wrapper_utility,shared_underlying_group_size,shared_underlying_wrapper_rank,shared_underlying_group_score,shared_underlying_weight_pre_caps,shared_underlying_allocation_reason,shared_underlying_incumbent,shared_underlying_switch_blocked,shared_underlying_capacity_usd,shared_underlying_capacity_binding,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,execution_policy,reduce_only,keep_open,hard_exit,model_gross_target_usd,model_long_usd,model_short_usd,_plan_date
AMUU,AMD,2.007836,249,ols,0.043757,50000,0.043757,False,False,45.9900016784668,0.043757,1.0,False,True,False,False,False,False,True,False,False,False,1.295279,0.491636,0.561061,0.318499,0.489575,0.447879,0.445818,0.501959,0.6023508000000001,0.501959,0.6023508000000001,0.447879,net_decay_annual,0.043757,ETF_LS,12245.524851779512,-6098.867064730143,12245.524851779512,-6098.867064730143,12245.524851779512,0.0,-0.0,12245.524851779512,core_leveraged,0.5,1.0,18344.391916509656,0.2655305666706332,3.0,1.0,0.0997269520232893,0.0038188260457027,primary,AMUU,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-18344.391916509656,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-04-01
ASMU,ASML,1.987288,34,ols,0.057016,10000,0.057016,False,False,22.084999084472656,0.057016,1.0,False,True,False,False,False,False,True,False,False,False,0.895243,0.314344,0.437586,0.187846,0.204913,0.257328,0.147897,0.496822,0.5961864,0.5,0.5961864,0.257328,net_decay_annual,0.057016,ETF_LS,4619.122766518478,-2324.3348556014416,4619.122766518478,-2324.3348556014416,4619.122766518478,0.0,-0.0,4619.122766518478,core_leveraged,0.5,1.0,6943.45762211992,0.1537416143460464,2.0,1.0,0.0377472236914924,0.0014454475752189,primary,ASMU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,6884.894359317697,4580.163660664706,-2304.730698652991,4580.163660664706,-2304.730698652991,haircut,haircut,-58.5632628022222,1.0085060510366386,normal,False,False,False,6884.894359317697,4580.163660664706,-2304.730698652991,2026-04-01
AVL,AVGO,1.986872,368,ols,0.042664,100000,0.042664,False,False,33.939998626708984,0.042664,1.0,False,True,False,False,False,False,True,False,False,False,1.074554,0.376772,0.5356,0.281243,0.376772,0.334108,0.334108,0.496718,0.5960616,0.5,0.5960616,0.334108,net_decay_annual,0.042664,ETF_LS,7296.223063460464,-3672.215957273777,7296.223063460464,-3672.215957273777,7296.223063460464,0.0,-0.0,7296.223063460464,core_leveraged,0.5,1.0,10968.43902073424,0.1996454686779709,3.0,1.0,0.0596285228188289,0.0022833441851721,primary,AVL,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-10968.43902073424,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-04-01
BOEU,BA,1.992743,236,ols,0.056112,10000,0.056112,False,False,33.220001220703125,0.056112,1.0,False,True,False,False,False,False,True,False,False,False,0.604312,0.193887,0.353836,0.12384,0.18944,0.137775,0.133328,0.49818575,0.5978228999999999,0.5,0.5978228999999999,0.137775,net_decay_annual,0.056112,ETF_LS,1543.8000705042884,-774.7110743855523,1543.8000705042884,-774.7110743855523,1543.8000705042884,0.0,-0.0,1543.8000705042884,core_leveraged,0.5,1.0,2318.5111448898406,0.0821451544509361,1.0,1.0,0.0126042907698563,0.0004826538152724,primary,BOEU,False,,,1.0,0.0,,False,0.0,0.0,1518.4332665271977,1011.061512077451,-507.3717544497465,1011.061512077451,-507.3717544497465,haircut,haircut,-800.0778783626431,1.526910135598187,normal,False,False,False,1518.4332665271977,1011.061512077451,-507.3717544497465,2026-04-01
FRDU,F,1.983516,173,ols,,0,0.0,False,True,24.155000686645508,,1.0,False,False,False,False,False,False,True,False,True,False,0.622061,0.207114,0.344412,0.115703,0.178457,0.207114,0.178457,0.495879,1.0,0.5,1.0,0.207114,net_decay_annual,,ETF_LS,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,core_leveraged,0.5,1.0,0.0,-inf,1.0,,0.0,0.0,not_selected,,False,,,1.0,0.0,,False,0.0,0.0,3752.6517049329527,2494.8566386645125,-1257.795066268441,2494.8566386645125,-1257.795066268441,haircut,haircut,3752.6517049329527,0.0,normal,False,False,False,3752.6517049329527,2494.8566386645125,-1257.795066268441,2026-04-01
HODU,HOOD,2.006817,90,ols,0.098778,9000,0.098778,False,False,7.243000030517578,0.098778,1.0,False,True,False,False,False,False,True,False,False,False,1.42109,0.62521,0.705883,0.503377,0.546889,0.526432,0.4481109999999999,0.50170425,0.6020450999999999,0.50170425,0.6020450999999999,0.526432,net_decay_annual,0.098778,ETF_LS,0.0,-0.0,0.0,-0.0,22370.02797023918,0.0,-0.0,22370.02797023918,core_leveraged,0.5,1.0,0.0,0.3122205268142409,3.0,3.0,0.1820717332395985,0.0069720397843829,not_selected,ROBN,False,196005.38060484696,shares_available,1.0,0.0,,False,0.0,0.0,59765.710352246926,39888.97347326596,-19876.736878980973,39888.97347326596,-19876.736878980973,haircut,haircut,59765.710352246926,0.0,normal,False,False,False,59765.710352246926,39888.97347326596,-19876.736878980973,2026-04-01
ELIL,LLY,1.991877,254,ols,0.102039,2000,0.102039,False,False,20.96500015258789,0.102039,1.0,False,True,False,False,False,False,True,False,False,False,0.846885,0.281074,0.374824,0.138786,0.281074,0.179035,0.179035,0.49796925,0.5975630999999999,0.5,0.5975630999999999,0.179035,net_decay_annual,0.102039,ETF_LS,2442.6930616604923,-1226.3272589926448,2442.6930616604923,-1226.3272589926448,2442.6930616604923,0.0,-0.0,2442.6930616604923,core_leveraged,0.5,1.0,3669.020320653137,0.1067802794094888,1.0,1.0,0.0199461620290037,0.0007637947568113,primary,ELIL,False,,,1.0,0.0,,False,0.0,0.0,2215.2170027827583,1474.8065504871731,-740.4104522955851,1474.8065504871731,-740.4104522955851,haircut,haircut,-1453.8033178703786,1.656280317478653,normal,False,False,False,2215.2170027827583,1474.8065504871731,-740.4104522955851,2026-04-01
MSFU,MSFT,1.991698,502,ols,0.0362679999999999,350000,0.0362679999999999,False,False,22.94070053100586,0.0362679999999999,1.0,False,True,False,False,False,False,True,False,False,False,0.481216,0.161763,0.241383,0.057542,0.161763,0.125495,0.125495,0.4979245,0.5975094,0.5,0.5975094,0.125495,net_decay_annual,0.0362679999999999,ETF_LS,1375.7683468525922,-690.7514828315298,1375.7683468525922,-690.7514828315298,1375.7683468525922,0.0,-0.0,1375.7683468525922,core_leveraged,0.5,1.0,2066.519829684122,0.0748529304605094,3.0,1.0,0.0112343720548517,0.0004301957669393,primary,MSFU,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-2066.519829684122,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-04-01
MUU,MU,1.994257,368,ols,0.036252,150000,0.036252,False,False,142.52499389648438,0.036252,1.0,False,True,False,False,False,False,True,False,False,False,1.277398,0.520545,0.61092,0.370014,0.520545,0.484293,0.484293,0.49856425,0.5982771,0.5,0.5982771,0.484293,net_decay_annual,0.036252,ETF_LS,15213.368463076033,-7628.589726938922,15213.368463076033,-7628.589726938922,15213.368463076033,0.0,-0.0,15213.368463076033,core_leveraged,0.5,1.0,22841.958190014957,0.2885840658795479,2.0,1.0,0.1241773986786378,0.0047551025549327,primary,MUU,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,32772.71258338034,21827.52231301265,-10945.190270367686,21827.52231301265,-10945.190270367686,haircut,haircut,9930.754393365383,0.6969810061312576,normal,False,False,False,32772.71258338034,21827.52231301265,-10945.190270367686,2026-04-01
ORCU,ORCL,2.004232,90,ols,0.139353,200000,0.139353,False,False,9.329999923706056,0.139353,1.0,False,True,False,False,False,False,True,False,False,False,1.084451,0.383312,0.514,0.265875,0.307817,0.2439589999999999,0.168464,0.501058,0.6012696,0.501058,0.6012696,0.2439589999999999,net_decay_annual,0.139353,ETF_LS,4172.56429162579,-2081.8768943045466,4172.56429162579,-2081.8768943045466,4172.56429162579,0.0,-0.0,4172.56429162579,core_leveraged,0.5,1.0,6254.441185930336,0.1448291062330293,1.0,1.0,0.0340014735250181,0.0013020122449875,primary,ORCU,False,,,1.0,0.0,,False,0.0,0.0,3786.888084038967,2526.370226550275,-1260.5178574886916,2526.370226550275,-1260.5178574886916,haircut,haircut,-2467.55310189137,1.651604443313667,normal,False,False,False,3786.888084038967,2526.370226550275,-1260.5178574886916,2026-04-01
