ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,wrapper_utility,shared_underlying_group_size,shared_underlying_wrapper_rank,shared_underlying_group_score,shared_underlying_weight_pre_caps,shared_underlying_allocation_reason,shared_underlying_incumbent,shared_underlying_switch_blocked,shared_underlying_capacity_usd,shared_underlying_capacity_binding,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,execution_policy,reduce_only,keep_open,hard_exit,model_gross_target_usd,model_long_usd,model_short_usd,_plan_date
AMUU,AMD,2.007557,254,ols,0.046161,25000,0.046161,False,False,57.178001403808594,0.046161,1.0,False,True,False,False,False,False,False,False,False,1.286561,0.493207,0.559641,0.316757,0.493207,0.447046,0.447046,0.50188925,0.6022670999999999,0.50188925,0.6022670999999999,0.447046,net_decay_annual,0.046161,ETF_LS,12182.241757490943,-6068.192214463123,12182.241757490943,-6068.192214463123,12182.241757490943,0.0,-0.0,12182.241757490943,core_leveraged,0.5,1.0,18250.433971954066,0.2650643369932597,3.0,1.0,0.1010514144720398,0.003611333582309,primary,AMUU,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-18250.433971954066,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-04-10
ASMU,ASML,2.006724,39,ols,0.090975,9000,0.090975,False,False,24.76000022888184,0.090975,1.0,False,True,False,False,False,False,False,False,False,0.976584,0.339932,0.442018,0.197355,0.21942,0.248957,0.128445,0.501681,0.6020172,0.501681,0.6020172,0.248957,net_decay_annual,0.090975,ETF_LS,4239.624997919455,-2112.7095693874467,4239.624997919455,-2112.7095693874467,4239.624997919455,0.0,-0.0,4239.624997919455,core_leveraged,0.5,1.0,6352.334567306903,0.1476585530724398,2.0,1.0,0.0351724454449926,0.0012569782825017,primary,ASMU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,5734.887381526536,3827.5332706980944,-1907.3541108284417,3827.5332706980944,-1907.3541108284417,haircut,haircut,-617.4471857803665,1.1076650934365884,normal,False,False,False,5734.887381526536,3827.5332706980944,-1907.3541108284417,2026-04-10
AVL,AVGO,1.986658,373,ols,0.047369,200000,0.047369,False,False,42.959999084472656,0.047369,1.0,False,True,False,False,False,False,False,False,False,1.074584,0.375665,0.53847,0.284173,0.375665,0.328296,0.328296,0.4966645,0.5959974,0.5,0.5959974,0.328296,net_decay_annual,0.047369,ETF_LS,6947.788939069572,-3497.224453866529,6947.788939069572,-3497.224453866529,6947.788939069572,0.0,-0.0,6947.788939069572,core_leveraged,0.5,1.0,10445.0133929361,0.1961883697728094,3.0,1.0,0.057833330383134,0.0020668235994576,primary,AVL,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-10445.0133929361,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-04-10
BOEU,BA,1.993667,241,ols,0.06232,10000,0.06232,False,False,37.0,0.06232,1.0,False,True,False,False,False,False,False,False,False,0.603722,0.194347,0.354755,0.124658,0.191305,0.132027,0.128985,0.49841675,0.5981001,0.5,0.5981001,0.132027,net_decay_annual,0.06232,ETF_LS,1406.1954438236016,-705.3311530078,1406.1954438236016,-705.3311530078,1406.1954438236016,0.0,-0.0,1406.1954438236016,core_leveraged,0.5,1.0,2111.526596831401,0.0786906784786999,1.0,1.0,0.0116913794835257,0.0004178216759554,primary,BOEU,False,,,1.0,0.0,,False,0.0,0.0,1186.84432686833,790.3926417382437,-396.4516851300863,790.3926417382437,-396.4516851300863,haircut,haircut,-924.6822699630716,1.7791099885888042,normal,False,False,False,1186.84432686833,790.3926417382437,-396.4516851300863,2026-04-10
FRDU,F,1.982796,179,ols,0.107286,10000,0.107286,False,False,27.160999298095703,0.107286,1.0,False,True,False,False,False,False,False,False,False,0.627002,0.200738,0.345199,0.116105,0.176221,0.093452,0.0689349999999999,0.495699,0.5948388,0.5,0.5948388,0.093452,net_decay_annual,0.107286,ETF_LS,772.214428174227,-389.4573260054121,772.214428174227,-389.4573260054121,772.214428174227,0.0,-0.0,772.214428174227,core_leveraged,0.5,1.0,1161.671754179639,0.0559281011694947,1.0,1.0,0.006432097674634,0.0002298676417194,primary,,False,,,1.0,0.0,,False,0.0,0.0,448.61939116767263,298.21708703166314,-150.40230413600952,298.21708703166314,-150.40230413600952,haircut,haircut,-713.0523630119665,2.0,normal,False,False,False,448.61939116767263,298.21708703166314,-150.40230413600952,2026-04-10
HODU,HOOD,2.007028,95,ols,0.099801,25000,0.099801,False,False,7.171999931335449,0.099801,1.0,False,True,False,False,False,False,False,False,False,1.391241,0.621569,0.707158,0.505357,0.549167,0.521768,0.4493659999999999,0.501757,0.6021084,0.501757,0.6021084,0.521768,net_decay_annual,0.099801,ETF_LS,0.0,-0.0,0.0,-0.0,21655.369022360144,0.0,-0.0,21655.369022360144,core_leveraged,0.5,1.0,0.0,0.3094299640063349,3.0,2.0,0.1795110718048621,0.0064152923082987,not_selected,ROBN,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,50120.368821616095,33452.62617950698,-16667.74264210912,33452.62617950698,-16667.74264210912,haircut,haircut,50120.368821616095,0.0,normal,False,False,False,50120.368821616095,33452.62617950698,-16667.74264210912,2026-04-10
ELIL,LLY,1.992978,259,ols,0.086835,5000,0.086835,False,False,20.840999603271484,0.086835,1.0,False,True,False,False,False,False,False,False,False,0.841056,0.277325,0.375058,0.13919,0.277325,0.19049,0.19049,0.4982445,0.5978933999999999,0.5,0.5978933999999999,0.19049,net_decay_annual,0.086835,ETF_LS,2671.8314636693017,-1340.6226579868428,2671.8314636693017,-1340.6226579868428,2671.8314636693017,0.0,-0.0,2671.8314636693017,core_leveraged,0.5,1.0,4012.4541216561447,0.1135652086902277,1.0,1.0,0.0222166861960985,0.0007939707263552,primary,ELIL,False,,,1.0,0.0,,False,0.0,0.0,2272.998559332268,1513.5547681208832,-759.4437912113848,1513.5547681208832,-759.4437912113848,haircut,haircut,-1739.4555623238766,1.7652691002298178,normal,False,False,False,2272.998559332268,1513.5547681208832,-759.4437912113848,2026-04-10
MSFU,MSFT,1.991788,500,ols,0.036116,300000,0.036116,False,False,23.31999969482422,0.036116,1.0,False,True,False,False,False,False,False,False,False,0.481519,0.16149,0.241524,0.057617,0.16149,0.1253739999999999,0.1253739999999999,0.497947,0.5975364,0.5,0.5975364,0.1253739999999999,net_decay_annual,0.036116,ETF_LS,1285.7294873273563,-645.5152291947519,1285.7294873273563,-645.5152291947519,1285.7294873273563,0.0,-0.0,1285.7294873273563,core_leveraged,0.5,1.0,1931.2447165221083,0.074778224353721,3.0,1.0,0.0106931709457491,0.0003821481128147,primary,MSFU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-1931.2447165221083,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-04-10
MUU,MU,1.994215,373,ols,0.051495,60000,0.051495,False,False,184.21499633789065,0.051495,1.0,False,True,False,False,False,False,False,False,False,1.275753,0.519914,0.613692,0.373356,0.519914,0.468419,0.468419,0.49855375,0.5982645,0.5,0.5982645,0.468419,net_decay_annual,0.051495,ETF_LS,0.0,-0.0,0.0,-0.0,15873.445518632312,0.0,-0.0,15873.445518632312,core_leveraged,0.5,1.0,0.0,0.2791293592584703,2.0,2.0,0.1318643309737466,0.0047125128256959,not_selected,MUU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,28726.601095198173,19132.5669008607,-9594.034194337471,19132.5669008607,-9594.034194337471,haircut,haircut,28726.601095198173,0.0,normal,False,False,False,28726.601095198173,19132.5669008607,-9594.034194337471,2026-04-10
ORCU,ORCL,2.003548,95,ols,0.060967,200000,0.060967,False,False,8.390000343322754,0.060967,1.0,False,True,False,False,False,False,False,False,False,1.062318,0.370476,0.515541,0.267199,0.306133,0.309509,0.245166,0.500887,0.6010643999999999,0.500887,0.6010643999999999,0.309509,net_decay_annual,0.060967,ETF_LS,6215.299247231892,-3102.146415874185,6215.299247231892,-3102.146415874185,6215.299247231892,0.0,-0.0,6215.299247231892,core_leveraged,0.5,1.0,9317.445663106078,0.1837906731732915,1.0,1.0,0.0515900643771065,0.0018437043456732,primary,ORCU,False,,,1.0,0.0,,False,0.0,0.0,5989.040581273301,3995.0519447430033,-1993.988636530297,3995.0519447430033,-1993.988636530297,haircut,haircut,-3328.405081832778,1.5557492951776162,normal,False,False,False,5989.040581273301,3995.0519447430033,-1993.988636530297,2026-04-10
PALU,PANW,2.00544,259,ols,0.0479739999999999,100000,0.0479739999999999,False,False,13.56700038909912,0.0479739999999999,1.0,False,True,False,False,False,False,False,False,False,0.740269,0.245501,0.348774,0.122638,0.245501,0.197527,0.197527,0.50136,0.6016320000000001,0.50136,0.6016320000000001,0.197527,net_decay_annual,0.0479739999999999,ETF_LS,3121.592582997914,-1556.5624416576484,3121.592582997914,-1556.5624416576484,3121.592582997914,0.0,-0.0,3121.592582997914,core_leveraged,0.5,1.0,4678.155024655563,0.1172112272047839,2.0,1.0,0.0259026269231399,0.0009256973488821,primary,PALU,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,5544.986707409607,3700.003374716355,-1844.983332693252,3700.003374716355,-1844.983332693252,haircut,haircut,866.8316827540448,0.8436729015786959,normal,False,False,False,5544.986707409607,3700.003374716355,-1844.983332693252,2026-04-10
QCMU,QCOM,2.00268,198,ols,0.039671,10000,0.039671,False,False,14.25100040435791,0.039671,1.0,False,True,False,False,False,False,False,False,False,0.640606,0.220908,0.383216,0.147445,0.205166,0.1812369999999999,0.165495,0.50067,0.6008039999999999,0.50067,0.6008039999999999,0.1812369999999999,net_decay_annual,0.039671,ETF_LS,2437.2503880948943,-1216.9944215226071,2437.2503880948943,-1216.9944215226071,2437.2503880948943,0.0,-0.0,2437.2503880948943,core_leveraged,0.5,1.0,3654.2448096175017,0.1076559887945647,1.0,1.0,0.0202333055425652,0.0007230894903227,primary,QCMU,False,,,1.0,0.0,,False,0.0,0.0,2324.6673076885204,1550.4698215466335,-774.1974861418868,1550.4698215466335,-774.1974861418868,haircut,haircut,-1329.5775019289813,1.5719431324781763,normal,False,False,False,2324.6673076885204,1550.4698215466335,-774.1974861418868,2026-04-10
SHPU,SHOP,2.011154,169,ols,0.060071,30000,0.060071,False,False,12.289999961853027,0.060071,1.0,False,True,False,False,False,False,False,False,False,1.021547,0.349517,0.580295,0.342397,0.347172,0.289446,0.287101,0.5027885,0.6033461999999999,0.5027885,0.6033461999999999,0.289446,net_decay_annual,0.060071,ETF_LS,5506.991210266008,-2738.224526946225,5506.991210266008,-2738.224526946225,5506.991210266008,0.0,-0.0,5506.991210266008,core_leveraged,0.5,1.0,8245.215737212233,0.1713892415505898,1.0,1.0,0.045653200036383,0.0016315351476537,primary,SHPU,False,,,1.0,0.0,,False,0.0,0.0,5285.366695375956,3530.1038641238997,-1755.262831252057,3530.1038641238997,-1755.262831252057,haircut,haircut,-2959.849041836277,1.5600082666782191,normal,False,False,False,5285.366695375956,3530.1038641238997,-1755.262831252057,2026-04-10
SOFA,SOFI,1.983909,39,ols,0.046082,900,0.046082,False,False,13.979999542236328,0.046082,1.0,False,True,False,False,False,False,False,True,False,0.831314,0.289355,0.571837,0.319147,0.314536,0.2432729999999999,0.2684539999999999,0.49597725,0.5951727,0.5,0.5951727,0.2432729999999999,net_decay_annual,0.046082,ETF_LS,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,core_leveraged,0.5,1.0,0.0,-inf,1.0,,0.0,0.0,not_selected,,False,,,1.0,0.0,,False,0.0,0.0,3972.46544937174,2641.169672800893,-1331.2957765708472,2641.169672800893,-1331.2957765708472,haircut,haircut,3972.46544937174,0.0,normal,False,False,False,3972.46544937174,2641.169672800893,-1331.2957765708472,2026-04-10
YINN,FXI,2.973355,500,ols,0.014156,1100000,0.014156,False,False,33.779998779296875,0.014156,1.0,False,True,False,False,False,False,False,False,False,0.860851,0.369085,0.288827,0.244736,0.369085,0.354929,0.354929,0.74333875,0.8920065,0.74333875,0.8920065,0.354929,net_decay_annual,0.014156,ETF_LS,5277.538567489236,-1774.9439833081606,5277.538567489236,-1774.9439833081606,5277.538567489236,0.0,-0.0,5277.538567489236,core_leveraged,0.5,1.0,7052.482550797396,0.1567495895177666,1.0,1.0,0.0390491173192169,0.0013955211757419,primary,YINN,False,,,1.0,0.0,,False,0.0,0.0,6075.8223067855015,4546.680735799395,-1529.1415709861064,4546.680735799395,-1529.1415709861064,haircut,haircut,-976.660244011894,1.1607453600019138,normal,False,False,False,6075.8223067855015,4546.680735799395,-1529.1415709861064,2026-04-10
MEXX,EWW,2.955094,500,ols,0.033887,10000,0.033887,False,False,33.869998931884766,0.033887,1.0,False,True,False,False,False,False,False,False,False,0.74574,0.299133,0.251712,0.183028,0.299133,0.265246,0.265246,0.7387735,0.8865282,0.7387735,0.8865282,0.265246,net_decay_annual,0.033887,ETF_LS,3190.8466566267416,-1079.7783950787154,3190.8466566267416,-1079.7783950787154,3190.8466566267416,0.0,-0.0,3190.8466566267416,core_leveraged,0.5,1.0,4270.625051705457,0.1176847985400762,1.0,1.0,0.0236461611169215,0.0008450567088089,primary,MEXX,False,,,1.0,0.0,,False,0.0,0.0,3525.293555798771,2633.9636516804944,-891.3299041182767,2633.9636516804944,-891.3299041182767,haircut,haircut,-745.3314959066856,1.2114239521076724,normal,False,False,False,3525.293555798771,2633.9636516804944,-891.3299041182767,2026-04-10
KORU,EWY,2.932291,500,ols,0.098854,450000,0.098854,False,False,399.4800109863281,0.098854,1.0,False,True,False,False,False,False,False,False,False,0.93103,0.387381,0.317196,0.285039,0.387381,0.288527,0.288527,0.73307275,0.8796873000000001,0.73307275,0.8796873000000001,0.288527,net_decay_annual,0.098854,ETF_LS,3727.427854484209,-1271.1657384905554,3727.427854484209,-1271.1657384905554,3727.427854484209,0.0,-0.0,3727.427854484209,core_leveraged,0.5,1.0,4998.593592974765,0.1287600567949356,1.0,1.0,0.0276768735317307,0.0009891046390658,primary,KORU,False,,,1.0,0.0,,False,0.0,0.0,3717.6899526739726,2772.2640031005626,-945.4259495734096,2772.2640031005626,-945.4259495734096,haircut,haircut,-1280.9036403007922,1.3445428899684049,normal,False,False,False,3717.6899526739726,2772.2640031005626,-945.4259495734096,2026-04-10
