ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,keep_open,_plan_date
AMUU,AMD,2.007591,255,ols,0.041554,5000,0.041554,False,False,61.2509994506836,0.041554,1.0,False,True,False,False,False,False,False,False,False,1.285543,0.494435,0.560008,0.317189,0.494435,0.452881,0.452881,0.50189775,0.6022773,0.50189775,0.6022773,0.452881,net_decay_annual,0.041554,ETF_LS,6732.126900083202,-3353.335863770659,6732.126900083202,-3353.335863770659,18570.11747657804,0.0,-0.0,18570.11747657804,core_leveraged,0.5,1.0,10085.46276385386,1.0,0.0,,False,0.0,0.0,10085.462763853857,6732.126900083199,-3353.335863770658,6732.126900083199,-3353.335863770658,haircut,haircut,-3.637978807091713e-12,1.0000000000000004,False,2026-04-11
AMZU,AMZN,1.988657,500,ols,0.062269,9000,0.062269,False,False,34.880001068115234,0.062269,1.0,False,True,False,False,False,False,False,False,False,0.64294,0.212196,0.323165,0.102665,0.212196,0.149927,0.149927,0.49716425,0.5965971,0.5,0.5965971,0.149927,net_decay_annual,0.062269,ETF_LS,839.4636279042601,-422.1259009996496,839.4636279042601,-422.1259009996496,1681.22211510856,0.0,-0.0,1681.22211510856,core_leveraged,0.5,1.0,1261.5895289039097,1.0,0.0,,False,0.0,0.0,1261.5895289039092,839.4636279042597,-422.1259009996494,839.4636279042597,-422.1259009996494,haircut,haircut,-4.547473508864641e-13,1.0000000000000004,False,2026-04-11
ASMU,ASML,2.00712,40,ols,,0,0.0,False,True,25.780000686645508,,1.0,False,False,False,False,False,False,False,True,False,0.969308,0.341846,0.442068,0.197516,0.220426,0.341846,0.220426,0.50178,1.0,0.50178,1.0,0.341846,net_decay_annual,,ETF_LS,4286.105588170495,-2135.4505899849014,4286.105588170495,-2135.4505899849014,4648.6734947734085,0.0,-0.0,4648.6734947734085,core_leveraged,0.5,1.0,6421.556178155396,1.0,0.0,,False,0.0,0.0,6421.556178155393,4286.105588170493,-2135.4505899849005,4286.105588170493,-2135.4505899849005,haircut,haircut,-2.7284841053187847e-12,1.0000000000000004,False,2026-04-11
AVL,AVGO,1.986602,374,ols,0.047221,100000,0.047221,False,False,46.91999816894531,0.047221,1.0,False,True,False,False,False,False,False,False,False,1.075568,0.377539,0.538529,0.284211,0.377539,0.330318,0.330318,0.4966505,0.5959806,0.5,0.5959806,0.330318,net_decay_annual,0.047221,ETF_LS,3803.5507409433735,-1914.6012844763943,3803.5507409433735,-1914.6012844763943,7773.755092213571,0.0,-0.0,7773.755092213571,core_leveraged,0.5,1.0,5718.152025419768,1.0,0.0,,False,0.0,0.0,5718.152025419766,3803.550740943372,-1914.6012844763936,3803.550740943372,-1914.6012844763936,haircut,haircut,-1.8189894035458565e-12,1.0000000000000002,False,2026-04-11
BOEU,BA,1.993646,242,ols,0.054201,10000,0.054201,False,False,36.17499923706055,0.054201,1.0,False,True,False,False,False,False,False,False,False,0.602976,0.194771,0.354808,0.124691,0.19199,0.14057,0.137789,0.4984115,0.5980938,0.5,0.5980938,0.14057,net_decay_annual,0.054201,ETF_LS,760.0692671495592,-381.24585164545726,760.0692671495592,-381.24585164545726,1326.1630048347772,0.0,-0.0,1326.1630048347772,core_leveraged,0.5,1.0,1141.3151187950164,1.0,0.0,,False,0.0,0.0,1141.315118795016,760.0692671495591,-381.2458516454572,760.0692671495591,-381.2458516454572,haircut,haircut,-2.273736754432321e-13,1.0000000000000002,False,2026-04-11
BABU,BABA,2.032523,39,ols,0.049964,15000,0.049964,False,False,13.90999984741211,0.049964,1.0,False,True,False,False,False,False,False,False,False,0.734194,0.225988,0.446537,0.209228,0.211822,0.1760239999999999,0.161858,0.50813075,0.6097568999999999,0.50813075,0.6097568999999999,0.1760239999999999,net_decay_annual,0.049964,ETF_LS,1173.2245209677178,-577.2257046870899,1173.2245209677178,-577.2257046870899,3888.655374955744,0.0,-0.0,3888.655374955744,core_leveraged,0.5,1.0,1750.4502256548078,1.0,0.0,,False,0.0,0.0,1750.4502256548071,1173.2245209677174,-577.2257046870897,1173.2245209677174,-577.2257046870897,haircut,haircut,-6.821210263296962e-13,1.0000000000000004,False,2026-04-11
CONX,COIN,2.003194,96,ols,0.155144,35000,0.155144,False,False,7.744999885559082,0.155144,1.0,False,True,False,False,False,False,False,False,False,1.500679,0.686089,0.790817,0.628391,0.650371,0.530945,0.495227,0.5007985,0.6009582,0.5007985,0.6009582,0.530945,net_decay_annual,0.155144,ETF_LS,8117.060457703134,-4052.059090484064,8117.060457703134,-4052.059090484064,42334.14407639937,0.0,-0.0,42334.14407639937,core_leveraged,0.5,1.0,12169.119548187198,1.0,0.0,,False,0.0,0.0,12169.119548187193,8117.06045770313,-4052.059090484062,8117.06045770313,-4052.059090484062,haircut,haircut,-5.4569682106375694e-12,1.0000000000000004,False,2026-04-11
FRDU,F,1.983433,180,ols,0.111586,10000,0.111586,False,False,26.540000915527344,0.111586,1.0,False,True,False,False,False,False,False,False,False,0.625894,0.20817,0.34526,0.116259,0.18191,0.0965839999999999,0.0703239999999999,0.49585825,0.5950299,0.5,0.5950299,0.0965839999999999,net_decay_annual,0.111586,ETF_LS,259.7412925198562,-130.95541544375644,259.7412925198562,-130.95541544375644,259.7412925198562,0.0,-0.0,259.7412925198562,core_leveraged,0.5,1.0,390.6967079636127,1.0,0.0,,False,0.0,0.0,390.6967079636125,259.74129251985613,-130.9554154437564,259.74129251985613,-130.9554154437564,haircut,haircut,-1.1368683772161605e-13,1.0000000000000002,False,2026-04-11
GGLL,GOOGL,1.99464,500,ols,0.076057,1000,0.076057,False,False,94.4499969482422,0.076057,1.0,False,True,False,False,False,False,False,False,False,0.601699,0.192634,0.301539,0.090196,0.192634,0.116577,0.116577,0.49866,0.5983919999999999,0.5,0.5983919999999999,0.116577,net_decay_annual,0.076057,ETF_LS,478.8896806284061,-240.08827689628507,478.8896806284061,-240.08827689628507,2307.0905439529347,0.0,-0.0,2307.0905439529347,core_leveraged,0.5,1.0,718.9779575246911,1.0,0.0,,False,0.0,0.0,718.9779575246909,478.8896806284058,-240.08827689628495,478.8896806284058,-240.08827689628495,haircut,haircut,-2.273736754432321e-13,1.0000000000000002,False,2026-04-11
HODU,HOOD,2.007069,96,ols,0.101042,25000,0.101042,False,False,6.96999979019165,0.101042,1.0,False,True,False,False,False,False,False,False,False,1.38422,0.62613,0.706886,0.504999,0.551144,0.525088,0.4501019999999999,0.50176725,0.6021207,0.50176725,0.6021207,0.525088,net_decay_annual,0.101042,ETF_LS,8332.961016210635,-4151.805949975131,8332.961016210635,-4151.805949975131,27818.07823360808,0.0,-0.0,27818.07823360808,core_leveraged,0.5,1.0,12484.766966185764,1.0,0.0,,False,0.0,0.0,12484.766966185758,8332.961016210631,-4151.805949975129,8332.961016210631,-4151.805949975129,haircut,haircut,-5.4569682106375694e-12,1.0000000000000004,False,2026-04-11
