ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,model_gross_target_usd,model_long_usd,model_short_usd,execution_policy,purgatory_reason,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,reduce_only,keep_open,hard_exit,_plan_date
AMUU,AMD,2.007615,258,ols,0.046105,15000,0.046105,False,False,67.9000015258789,0.046105,1.0,False,True,False,False,False,False,False,False,False,1.162992,0.486599,0.580238,0.340532,0.486599,0.440494,0.440494,0.50190375,0.6022845,0.50190375,0.6022845,0.440494,net_decay_annual,0.046105,ETF_LS,6717.462970063964,-3345.991621931478,6717.462970063964,-3345.991621931478,18777.04220179898,0.0,-0.0,18777.04220179898,core_leveraged,0.5,1.0,10063.454591995443,6717.462970063964,-3345.991621931478,6717.462970063964,-3345.991621931478,10063.454591995443,6717.462970063964,-3345.991621931478,normal,,10063.454591995443,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-04-16
AMZU,AMZN,1.988917,500,ols,,0,0.0,False,True,37.790000915527344,,1.0,False,False,False,False,False,False,False,True,False,0.629154,0.211393,0.315554,0.097925,0.211393,0.211393,0.211393,0.49722925,1.0,0.5,1.0,0.211393,net_decay_annual,,ETF_LS,1954.6236696285976,-982.7577870914662,1954.6236696285976,-982.7577870914662,2723.0114348922766,0.0,-0.0,2723.0114348922766,core_leveraged,0.5,1.0,2937.3814567200634,1954.6236696285976,-982.7577870914662,1954.6236696285976,-982.7577870914662,2937.3814567200634,1954.6236696285976,-982.7577870914662,normal,no_locate,2937.3814567200634,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-04-16
ASMU,ASML,2.002977,43,ols,,0,0.0,False,True,25.93000030517578,,1.0,False,False,False,False,False,False,False,True,False,0.944316,0.296442,0.387762,0.151031,0.175843,0.296442,0.175843,0.50074425,1.0,0.50074425,1.0,0.296442,net_decay_annual,,ETF_LS,3521.890186214021,-1758.3278221437497,3521.890186214021,-1758.3278221437497,4341.966186754169,0.0,-0.0,4341.966186754169,core_leveraged,0.5,1.0,5280.2180083577705,3521.890186214021,-1758.3278221437497,3521.890186214021,-1758.3278221437497,5280.2180083577705,3521.890186214021,-1758.3278221437497,normal,no_locate,5280.2180083577705,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-04-16
AVL,AVGO,1.986508,377,ols,0.051054,55000,0.051054,False,False,53.25,0.051054,1.0,False,True,False,False,False,False,False,False,False,0.854402,0.375122,0.427693,0.179236,0.375122,0.324068,0.324068,0.496627,0.5959523999999999,0.5,0.5959523999999999,0.324068,net_decay_annual,0.051054,ETF_LS,3849.883917418842,-1938.0158133865264,3849.883917418842,-1938.0158133865264,7836.762134130268,0.0,-0.0,7836.762134130268,core_leveraged,0.5,1.0,5787.8997308053695,3849.8839174188415,-1938.0158133865268,3849.8839174188415,-1938.0158133865268,5787.8997308053695,3849.8839174188415,-1938.0158133865268,normal,,5787.899730805369,1.0,0.0,,False,0.0,0.0,haircut,haircut,9.094947017729282e-13,1.0,False,False,False,2026-04-16
BOEU,BA,1.993107,245,ols,0.0559049999999999,10000,0.0559049999999999,False,False,38.3650016784668,0.0559049999999999,1.0,False,True,False,False,False,False,False,False,False,0.600565,0.188905,0.306328,0.092869,0.186237,0.133,0.130332,0.49827675,0.5979321,0.5,0.5979321,0.133,net_decay_annual,0.0559049999999999,ETF_LS,714.7160782489651,-358.5939331149633,714.7160782489651,-358.5939331149633,1227.8506401448142,0.0,-0.0,1227.8506401448142,core_leveraged,0.5,1.0,1073.3100113639289,714.7160782489653,-358.5939331149634,714.7160782489653,-358.5939331149634,1073.3100113639289,714.7160782489653,-358.5939331149634,normal,,1073.3100113639284,1.0,0.0,,False,0.0,0.0,haircut,haircut,2.273736754432321e-13,0.9999999999999998,False,False,False,2026-04-16
BABU,BABA,2.034567,42,ols,0.050105,20000,0.050105,False,False,15.220000267028809,0.050105,1.0,False,True,False,False,False,False,False,False,False,0.732624,0.215351,0.434278,0.198489,0.201299,0.1652459999999999,0.151194,0.50864175,0.6103701,0.50864175,0.6103701,0.1652459999999999,net_decay_annual,0.050105,ETF_LS,1096.1050186027517,-538.74117618282,1096.1050186027517,-538.74117618282,3933.4443258463743,0.0,-0.0,3933.4443258463743,core_leveraged,0.5,1.0,1634.8461947855717,1096.1050186027517,-538.74117618282,1096.1050186027517,-538.74117618282,1634.8461947855717,1096.1050186027517,-538.74117618282,normal,,1634.8461947855717,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-04-16
CONX,COIN,2.004311,99,ols,0.157039,40000,0.157039,False,False,10.489999771118164,0.157039,1.0,False,True,False,False,False,False,False,False,False,1.511136,0.668168,0.728767,0.534541,0.587037,0.511129,0.429998,0.50107775,0.6012932999999999,0.50107775,0.6012932999999999,0.511129,net_decay_annual,0.157039,ETF_LS,7942.342551978285,-3962.62982739619,7942.342551978285,-3962.62982739619,41674.21207414493,0.0,-0.0,41674.21207414493,core_leveraged,0.5,1.0,11904.972379374474,7942.342551978284,-3962.6298273961897,7942.342551978284,-3962.6298273961897,11904.972379374474,7942.342551978284,-3962.6298273961897,normal,,11904.972379374476,1.0,0.0,,False,0.0,0.0,haircut,haircut,-1.8189894035458565e-12,1.0000000000000002,False,False,False,2026-04-16
GGLL,GOOGL,1.994828,500,ols,,0,0.0,False,True,106.5,,1.0,False,False,False,False,False,False,False,True,False,0.575336,0.191197,0.287429,0.081976,0.191197,0.191197,0.191197,0.498707,1.0,0.5,1.0,0.191197,net_decay_annual,,ETF_LS,1637.6106269483405,-820.928233887002,1637.6106269483405,-820.928233887002,3204.3869845188483,0.0,-0.0,3204.3869845188483,core_leveraged,0.5,1.0,2458.5388608353423,1637.6106269483405,-820.928233887002,1637.6106269483405,-820.928233887002,2458.5388608353423,1637.6106269483405,-820.928233887002,normal,no_locate,2458.5388608353423,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-04-16
HODU,HOOD,2.007897,99,ols,0.105828,20000,0.105828,False,False,10.890000343322754,0.105828,1.0,False,True,False,False,False,False,False,False,False,1.453532,0.647549,0.667884,0.451367,0.528439,0.541721,0.4226109999999999,0.50197425,0.6023690999999999,0.50197425,0.6023690999999999,0.541721,net_decay_annual,0.105828,ETF_LS,9257.395926869887,-4610.493430126092,9257.395926869887,-4610.493430126092,29954.036621836945,0.0,-0.0,29954.036621836945,core_leveraged,0.5,1.0,13867.88935699598,9257.395926869887,-4610.493430126092,9257.395926869887,-4610.493430126092,13867.88935699598,9257.395926869887,-4610.493430126092,normal,,13867.88935699598,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-04-16
LINT,INTC,1.991183,99,ols,0.130739,20000,0.130739,False,False,68.6500015258789,0.130739,1.0,False,True,False,False,False,False,False,False,False,1.453856,0.608058,0.635391,0.398398,0.480764,0.477319,0.350025,0.49779575,0.5973548999999999,0.5,0.5973548999999999,0.477319,net_decay_annual,0.130739,ETF_LS,7177.185948417592,-3604.483339008817,7177.185948417592,-3604.483339008817,15104.303653205883,0.0,-0.0,15104.303653205883,core_leveraged,0.5,1.0,10781.669287426408,7177.185948417592,-3604.483339008817,7177.185948417592,-3604.483339008817,10781.669287426408,7177.185948417592,-3604.483339008817,normal,,10781.669287426408,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-04-16
