ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,vol_etf_annual_legacy,gross_decay_annual,gross_decay_annual_legacy_weekly,vol_underlying_annual,vol_underlying_annual_legacy,expense_ratio_annual,expense_ratio_source,underlying_borrow_annual,risk_free_rate_used,expected_gross_decay_annual,expected_gross_decay_annual_legacy,expected_gross_decay_reliable,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,bucket,bucket4_net_edge_annual,inverse_shortable,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,model_gross_target_usd,model_long_usd,model_short_usd,execution_policy,purgatory_reason,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,borrow_underlying,reduce_only,keep_open,hard_exit,_plan_date
AMUU,AMD,2.007667,263,ols,0.051608,8000,0.051608,False,False,87.697998046875,0.051608,1.0,False,True,False,False,False,False,False,False,False,1.150568,1.163158,0.502671,0.484245,0.576866,0.580395,0.0106,yfinance,0.0,0.03595,0.383437,0.387568,True,0.502671,0.451063,0.451063,0.50191675,0.6023001,0.50191675,0.6023001,bucket_1,,False,0.451063,net_decay_annual,0.051608,ETF_LS,6297.71591270845,-3136.832907403693,6297.71591270845,-3136.832907403693,17308.043935182646,0.0,-0.0,17308.043935182646,core_leveraged,0.5,1.0,9434.54882011214,6297.715912708448,-3136.832907403692,6297.715912708448,-3136.832907403692,9434.54882011214,6297.715912708448,-3136.832907403692,normal,,9434.548820112142,1.0,0.0,,False,0.0,0.0,haircut,haircut,-1.8189894035458565e-12,1.0000000000000002,0.0,False,False,False,2026-04-22
AMZU,AMZN,1.98888,501,ols,0.111806,250000,0.111806,False,False,39.0099983215332,0.111806,1.0,False,True,False,False,False,False,False,False,False,0.618339,0.6214,0.213026,0.210271,0.311021,0.311714,0.0099,yfinance,0.0,0.03595,0.140577,0.141001,True,0.213026,0.1012199999999999,0.1012199999999999,0.49722,0.596664,0.5,0.596664,bucket_1,,False,0.1012199999999999,net_decay_annual,0.111806,ETF_LS,276.4584253951222,-139.00206417437062,276.4584253951222,-139.00206417437062,978.768652454408,0.0,-0.0,978.768652454408,core_leveraged,0.5,1.0,415.4604895694928,276.45842539512216,-139.0020641743706,276.45842539512216,-139.0020641743706,415.4604895694928,276.45842539512216,-139.0020641743706,normal,,415.4604895694928,1.0,0.0,,False,0.0,0.0,haircut,haircut,-5.684341886080803e-14,1.0000000000000002,0.0,False,False,False,2026-04-22
ASMU,ASML,2.004753,48,ols,0.124334,5000,0.124334,False,False,25.000099182128903,0.124334,1.0,False,True,False,False,False,False,False,False,False,0.922183,0.938252,0.341578,0.304035,0.385873,0.384493,0.0097,yfinance,0.0,0.03595,0.195782,0.194711,True,0.223553,0.217244,0.099219,0.50118825,0.6014259,0.50118825,0.6014259,bucket_1,,False,0.217244,net_decay_annual,0.124334,ETF_LS,1408.9335731720062,-702.7965904887067,1408.9335731720062,-702.7965904887067,2130.8351390194093,0.0,-0.0,2130.8351390194093,core_leveraged,0.5,1.0,2111.7301636607126,1408.933573172006,-702.7965904887066,1408.933573172006,-702.7965904887066,2111.7301636607126,1408.933573172006,-702.7965904887066,normal,,2111.730163660713,1.0,0.0,,False,0.0,0.0,haircut,haircut,-4.547473508864641e-13,1.0000000000000002,0.0,False,False,False,2026-04-22
AVL,AVGO,1.986371,382,ols,0.054076,150000,0.054076,False,False,57.619998931884766,0.054076,1.0,False,True,False,False,False,False,False,False,False,0.846582,0.850321,0.377124,0.371817,0.425952,0.42574,0.01,yfinance,0.0,0.03595,0.223203,0.223026,True,0.377124,0.323048,0.323048,0.49659275,0.5959113,0.5,0.5959113,bucket_1,,False,0.323048,net_decay_annual,0.054076,ETF_LS,3443.3373480365417,-1733.4814835881823,3443.3373480365417,-1733.4814835881823,10439.609052659076,0.0,-0.0,10439.609052659076,core_leveraged,0.5,1.0,5176.818831624722,3443.337348036541,-1733.4814835881818,3443.337348036541,-1733.4814835881818,5176.818831624722,3443.337348036541,-1733.4814835881818,normal,,5176.818831624724,1.0,0.0,,False,0.0,0.0,haircut,haircut,-1.8189894035458565e-12,1.0000000000000004,0.0,False,False,False,2026-04-22
BOEU,BA,1.993003,250,ols,0.055496,10000,0.055496,False,False,38.47999954223633,0.055496,1.0,False,True,False,False,False,False,False,False,False,0.596878,0.602278,0.192737,0.188697,0.304884,0.306423,0.0106,yfinance,0.0,0.03595,0.138279,0.13921,True,0.192305,0.137241,0.136809,0.49825075,0.5979009,0.5,0.5979009,bucket_1,,False,0.137241,net_decay_annual,0.055496,ETF_LS,687.4624488845944,-344.9379900003133,687.4624488845944,-344.9379900003133,1213.708578920226,0.0,-0.0,1213.708578920226,core_leveraged,0.5,1.0,1032.4004388849075,687.4624488845943,-344.9379900003132,687.4624488845943,-344.9379900003132,1032.4004388849075,687.4624488845943,-344.9379900003132,normal,,1032.4004388849078,1.0,0.0,,False,0.0,0.0,haircut,haircut,-2.273736754432321e-13,1.0000000000000002,0.0,False,False,False,2026-04-22
BABU,BABA,2.037394,47,ols,0.056172,25000,0.056172,False,False,15.888999938964844,0.056172,1.0,False,True,False,False,False,False,False,False,False,0.759552,0.746169,0.228075,0.212603,0.425318,0.430353,0.0097,yfinance,0.0,0.03595,0.238163,0.242716,True,0.236282,0.171903,0.18011,0.5093485,0.6112181999999999,0.5093485,0.6112181999999999,bucket_1,,False,0.171903,net_decay_annual,0.056172,ETF_LS,1048.6358124934106,-514.6946601852222,1048.6358124934106,-514.6946601852222,3618.271372465155,0.0,-0.0,3618.271372465155,core_leveraged,0.5,1.0,1563.3304726786328,1048.6358124934106,-514.6946601852222,1048.6358124934106,-514.6946601852222,1563.3304726786328,1048.6358124934106,-514.6946601852222,normal,,1563.330472678633,1.0,0.0,,False,0.0,0.0,haircut,haircut,-2.273736754432321e-13,1.0000000000000002,0.0,False,False,False,2026-04-22
CONX,COIN,2.005806,104,ols,0.1030219999999999,30000,0.1030219999999999,False,False,11.649100303649902,0.1030219999999999,1.0,False,True,False,False,False,False,False,False,False,1.485182,1.512433,0.697716,0.664597,0.722539,0.735783,0.0097,yfinance,0.0,0.03595,0.572477,0.591959,True,0.624163,0.5946940000000001,0.5211410000000001,0.5014515,0.6017418,0.5014515,0.6017418,bucket_1,,False,0.5946940000000001,net_decay_annual,0.1030219999999999,ETF_LS,9950.765427484355,-4960.980985939994,9950.765427484355,-4960.980985939994,40315.93738659655,-832.9071836245962,832.9071836245962,39483.03020297195,core_leveraged,0.5,1.0,14911.746413424347,9950.765427484352,-4960.980985939993,9950.765427484352,-4960.980985939993,14911.746413424347,9950.765427484352,-4960.980985939993,normal,,14911.74641342435,1.0,0.0,,False,0.0,0.0,haircut,haircut,-1.8189894035458565e-12,1.0000000000000002,0.0,False,False,False,2026-04-22
GGLL,GOOGL,1.995137,501,ols,0.075098,400000,0.075098,False,False,106.73999786376952,0.075098,1.0,False,True,False,False,False,False,False,False,False,0.57226,0.57204,0.195275,0.18799,0.288072,0.285707,0.0096,yfinance,0.0,0.03595,0.127756,0.126409,True,0.195275,0.120177,0.120177,0.49878425,0.5985410999999999,0.5,0.5985410999999999,bucket_1,,False,0.120177,net_decay_annual,0.075098,ETF_LS,487.57624200015096,-244.38233665164395,487.57624200015096,-244.38233665164395,2698.5338345320106,0.0,-0.0,2698.5338345320106,core_leveraged,0.5,1.0,731.9585786517948,487.5762420001509,-244.38233665164395,487.5762420001509,-244.38233665164395,731.9585786517948,487.5762420001509,-244.38233665164395,normal,,731.9585786517949,1.0,0.0,,False,0.0,0.0,haircut,haircut,-1.1368683772161605e-13,1.0000000000000002,0.0,False,False,False,2026-04-22
HODU,HOOD,2.008207,104,ols,0.1215649999999999,35000,0.1215649999999999,False,False,11.130000114440918,0.1215649999999999,1.0,False,True,False,False,False,False,False,False,False,1.440678,1.437541,0.691996,0.638192,0.661678,0.665931,0.0097,yfinance,0.0,0.03595,0.489167,0.494883,True,0.572874,0.570431,0.451309,0.50205175,0.6024621,0.50205175,0.6024621,bucket_1,,False,0.570431,net_decay_annual,0.1215649999999999,ETF_LS,9078.629920335648,-4520.764005073006,9078.629920335648,-4520.764005073006,36372.775419573896,0.0,-0.0,36372.775419573896,core_leveraged,0.5,1.0,13599.393925408647,9078.629920335645,-4520.764005073005,9078.629920335645,-4520.764005073005,13599.393925408647,9078.629920335645,-4520.764005073005,normal,,13599.39392540865,1.0,0.0,,False,0.0,0.0,haircut,haircut,-1.8189894035458565e-12,1.0000000000000002,0.0,False,False,False,2026-04-22
LINT,INTC,1.990037,104,ols,0.201785,30000,0.201785,False,False,70.18810272216797,0.201785,1.0,False,True,False,False,False,False,False,False,False,1.446114,1.433333,0.648357,0.620274,0.631286,0.636492,0.0097,yfinance,0.0,0.03595,0.437878,0.44438,True,0.524742,0.4465719999999999,0.322957,0.49750925,0.5970111,0.5,0.5970111,bucket_1,,False,0.4465719999999999,net_decay_annual,0.201785,ETF_LS,5298.189574431284,-2662.35732020625,5298.189574431284,-2662.35732020625,12617.286423064625,0.0,-0.0,12617.286423064625,core_leveraged,0.5,1.0,7960.546894637533,5298.189574431283,-2662.3573202062494,5298.189574431283,-2662.3573202062494,7960.546894637533,5298.189574431283,-2662.3573202062494,normal,,7960.546894637534,1.0,0.0,,False,0.0,0.0,haircut,haircut,-9.094947017729282e-13,1.0000000000000002,0.0,False,False,False,2026-04-22
ELIL,LLY,1.992902,268,ols,0.1343629999999999,10000,0.1343629999999999,False,False,19.102500915527344,0.1343629999999999,1.0,False,True,False,False,False,False,False,False,False,0.795943,0.773044,0.287338,0.276734,0.393392,0.389174,0.0107,yfinance,0.0,0.03595,0.199508,0.196242,True,0.287338,0.152975,0.152975,0.4982255,0.5978705999999999,0.5,0.5978705999999999,bucket_1,,False,0.152975,net_decay_annual,0.1343629999999999,ETF_LS,649.1083403603905,-325.7101153796777,649.1083403603905,-325.7101153796777,2264.1170367150416,0.0,-0.0,2264.1170367150416,core_leveraged,0.5,1.0,974.818455740068,649.1083403603903,-325.71011537967763,649.1083403603903,-325.71011537967763,974.818455740068,649.1083403603903,-325.71011537967763,normal,,974.818455740068,1.0,0.0,,False,0.0,0.0,haircut,haircut,-1.1368683772161605e-13,1.0000000000000002,0.0,False,False,False,2026-04-22
