ETF,Underlying,is_yieldboost,scenario_style,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,vol_etf_annual_legacy,gross_decay_annual,gross_decay_annual_legacy_weekly,vol_underlying_annual,vol_underlying_annual_legacy,expense_ratio_annual,expense_ratio_source,underlying_borrow_annual,risk_free_rate_used,expected_gross_decay_annual,expected_gross_decay_annual_legacy,expected_gross_decay_reliable,blended_gross_decay,net_decay_annual,decay_score,asof_date,product_class,gross_edge_definition,primary_edge_annual,gross_for_primary_annual,borrow_for_net_annual,borrow_avg_annual,borrow_median_60d,net_edge_p05_annual,net_edge_p25_annual,net_edge_p50_annual,net_edge_p75_annual,net_edge_p95_annual,net_edge_hist_json,mechanical_decay_annual,realized_tracking_component_annual,slippage_proxy_annual,income_distributions_annual,block_len,B_reps,annualization_key,hac_lag,sigma_b_annual,stress_borrow_rho,copula_note,copula_type,borrow_dispersion_type,regime_autocorr_und_21d_proxy,regime_warning,high_intraday_risk,decomposition_note,borrow_weight_halflife_days,borrow_history_points_used,borrow_resample_mode,schema_v,edge_sign_convention,expected_gross_decay_simple_ito_annual,expected_gross_decay_adjusted_annual,expected_decay_adjustment_annual,expected_decay_model,expected_gross_decay_p10_annual,expected_gross_decay_p50_annual,expected_gross_decay_p90_annual,expected_gross_decay_mean_annual,expected_gross_decay_dist_model,expected_logIV_mu_annual,expected_logIV_sigma_annual,expected_gross_decay_dist_n_obs,expected_gross_decay_dist_horizon_days,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,bucket,bucket4_net_edge_annual,inverse_shortable,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,wrapper_utility,shared_underlying_group_size,shared_underlying_wrapper_rank,shared_underlying_group_score,shared_underlying_weight_pre_caps,shared_underlying_allocation_reason,shared_underlying_incumbent,shared_underlying_switch_blocked,shared_underlying_capacity_usd,shared_underlying_capacity_binding,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,borrow_underlying,execution_policy,reduce_only,keep_open,hard_exit,model_gross_target_usd,model_long_usd,model_short_usd,_plan_date
ASMU,ASML,False,,2.004162,50,ols,0.139625,10000,0.139625,False,False,24.790000915527344,0.139625,1.0,False,True,False,False,False,False,False,False,False,0.916573,0.932284,0.353366,0.330232,0.385654,0.384746,,missing,0.0,0.045,0.194846,0.194142,True,0.226298,0.213741,0.086673,2026-04-25,standard_letf,blended_realized_expected,0.213741,0.226298,0.139625,0.0824827777777777,0.069396,0.0991017373640327,0.1984674082819786,0.2683830281777264,0.3342904518179369,0.4205545710257761,"{""e"":[0.019848,0.043095,0.066343,0.08959,0.112838,0.136085,0.159333,0.18258,0.205828,0.229075,0.252323,0.27557,0.298818,0.322065,0.345313,0.36856,0.391808,0.415055,0.438303,0.46155,0.484798],""c"":[4,4,5,11,15,12,27,26,36,25,43,28,44,26,33,23,9,11,2,8]}",0.194846,0.15852,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.0043765769028896,none,False,ok,90.0,45.0,weighted_empirical,2,short_favorable_positive,0.194846,,,simple_ito,0.194846,0.194846,0.194846,0.194846,simple_ito_fallback,-1.641778,0.0,479.0,252.0,0.5010405,0.6012486,0.5010405,0.6012486,bucket_1,,False,0.139625,ETF_LS,2866.9273579438463,-1430.486835866485,2866.9273579438463,-1430.486835866485,2866.9273579438463,0.0,-0.0,2866.9273579438463,core_leveraged,0.5,1.0,4297.414193810331,0.1593328891522702,2.0,1.0,0.0401822734287432,0.0015233897826011,primary,ASMU,False,246330.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-4297.414193810331,1.0,0.0,normal,False,False,False,0.0,0.0,-0.0,2026-04-25
AVL,AVGO,False,,1.98656,384,ols,0.045164,150000,0.045164,False,False,60.11000061035156,0.045164,1.0,False,True,False,False,False,False,False,False,False,0.845873,0.850416,0.377142,0.373784,0.425506,0.425685,,missing,0.0,0.045,0.221817,0.221966,True,0.377142,0.331978,0.331978,2026-04-25,standard_letf,blended_realized_expected,0.331978,0.377142,0.045164,0.0643034615384615,0.0537845,0.2294631267642726,0.2767663220461879,0.3173493963006373,0.3610951171737804,0.4160743843910633,"{""e"":[0.169313,0.183637,0.197962,0.212287,0.226611,0.240936,0.255261,0.269585,0.28391,0.298234,0.312559,0.326884,0.341208,0.355533,0.369858,0.384182,0.398507,0.412831,0.427156,0.441481,0.455805],""c"":[4,3,3,5,14,20,23,43,32,33,45,34,26,34,26,19,9,11,2,6]}",0.221817,0.155325,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.1306113501340135,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,52.0,weighted_empirical,2,short_favorable_positive,0.221817,,,simple_ito,0.221817,0.221817,0.221817,0.221817,simple_ito_fallback,-1.485629,0.0,479.0,252.0,0.49664,0.595968,0.5,0.595968,bucket_1,,False,0.045164,ETF_LS,3973.728702071017,-2000.306410111457,3973.728702071017,-2000.306410111457,3973.728702071017,0.0,-0.0,3973.728702071017,core_leveraged,0.5,1.0,5974.035112182473,0.1896537400358284,4.0,1.0,0.0558592450074696,0.0021177349076351,primary,AVL,True,246330.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-5974.035112182473,1.0,0.0,normal,False,False,False,0.0,0.0,-0.0,2026-04-25
BOEU,BA,False,,1.995547,252,ols,0.051603,20000,0.051603,False,False,40.93999862670898,0.051603,1.0,False,True,False,False,False,False,False,False,False,0.602926,0.609096,0.197893,0.195302,0.30264,0.304282,,missing,0.0,0.045,0.13578,0.13677,True,0.197893,0.14629,0.14629,2026-04-25,standard_letf,blended_realized_expected,0.14629,0.197893,0.051603,0.0636154528301886,0.055103,0.0479244471522278,0.1019406739835032,0.1371100034991693,0.1744770051184152,0.22739960793091,"{""e"":[0.019818,0.031737,0.043656,0.055575,0.067494,0.079413,0.091332,0.103251,0.11517,0.127089,0.139008,0.150927,0.162846,0.174765,0.186684,0.198603,0.210522,0.222441,0.23436,0.246279,0.258198],""c"":[5,7,13,14,15,22,22,37,32,33,43,32,21,33,18,19,7,9,6,4]}",0.13578,0.062113,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.0106364410505182,none,False,ok,90.0,53.0,weighted_empirical,2,short_favorable_positive,0.13578,,,simple_ito,0.13578,0.13578,0.13578,0.13578,simple_ito_fallback,-1.990027,0.0,479.0,252.0,0.49888675,0.5986640999999999,0.5,0.5986640999999999,bucket_1,,False,0.051603,ETF_LS,888.7880502181802,-445.3856763174108,888.7880502181802,-445.3856763174108,888.7880502181802,0.0,-0.0,888.7880502181802,core_leveraged,0.5,1.0,1334.173726535591,0.0816625000044868,2.0,1.0,0.0124749747320875,0.0004729510658168,primary,BOEU,False,246330.0,pair_cap,1.0,0.0,,False,0.0,0.0,1334.9286458808206,889.2909557091021,-445.6376901717184,889.2909557091021,-445.6376901717184,haircut,haircut,0.7549193452296095,0.9994344871184246,0.0,normal,False,False,False,1334.9286458808206,889.2909557091021,-445.6376901717184,2026-04-25
METU,META,False,,1.998178,471,ols,0.070181,250000,0.070181,False,False,30.700000762939453,0.070181,1.0,False,True,False,False,False,False,False,False,False,0.701276,0.706557,0.242245,0.239975,0.350585,0.352787,,missing,0.0,0.045,0.167492,0.169037,True,0.242245,0.172064,0.172064,2026-04-25,standard_letf,blended_realized_expected,0.172064,0.242245,0.070181,0.0829317307692307,0.08429,0.0972893587798586,0.1320362175255011,0.1560731212022617,0.1774248920876129,0.2142378370688473,"{""e"":[0.083253,0.091312,0.099371,0.107429,0.115488,0.123547,0.131605,0.139664,0.147723,0.155781,0.16384,0.171899,0.179957,0.188016,0.196075,0.204133,0.212192,0.22025,0.228309,0.236368,0.244426],""c"":[9,13,12,11,19,32,30,28,39,32,39,38,28,16,20,6,9,5,3,3]}",0.167492,0.0747529999999999,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.0889211585289328,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,52.0,weighted_empirical,2,short_favorable_positive,0.167492,,,simple_ito,0.167492,0.167492,0.167492,0.167492,simple_ito_fallback,-1.784085,0.0,479.0,252.0,0.4995445,0.5994534,0.5,0.5994534,bucket_1,,False,0.070181,ETF_LS,1113.5028155958166,-557.2590708114175,1113.5028155958166,-557.2590708114175,1767.6675630882255,0.0,-0.0,1767.6675630882255,core_leveraged,0.5,1.0,1670.761886407234,0.0928650903983416,2.0,1.0,0.0156221876519685,0.0005922681575767,primary,METU,False,246330.0,pair_cap,1.0,0.0,,False,0.0,0.0,2439.799330440626,1626.038662981714,-813.760667458912,1626.038662981714,-813.760667458912,haircut,haircut,769.0374440333919,0.6847947966710425,0.0,normal,False,False,False,2439.799330440626,1626.038662981714,-813.760667458912,2026-04-25
MSFU,MSFT,False,,1.992034,500,ols,0.034848,450000,0.034848,False,False,29.8799991607666,0.034848,1.0,False,True,False,False,False,False,False,False,False,0.50132,0.495095,0.166315,0.163268,0.24784,0.246796,,missing,0.0,0.045,0.105334,0.104824,True,0.166315,0.131467,0.131467,2026-04-25,standard_letf,blended_realized_expected,0.131467,0.166315,0.034848,0.0384849622641509,0.036028,0.098765604385443,0.1138453937117748,0.1265258895754157,0.1389622199999334,0.1582635024715415,"{""e"":[0.084605,0.088951,0.093296,0.097642,0.101987,0.106332,0.110678,0.115023,0.119369,0.123714,0.128059,0.132405,0.13675,0.141095,0.145441,0.149786,0.154132,0.158477,0.162822,0.167168,0.171513],""c"":[4,3,6,16,19,19,38,21,36,53,28,36,34,23,16,13,12,7,3,5]}",0.105334,0.0609809999999999,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.0684075748645685,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,53.0,weighted_empirical,2,short_favorable_positive,0.105334,,,simple_ito,0.105334,0.105334,0.105334,0.105334,simple_ito_fallback,-2.23863,0.0,479.0,252.0,0.4980085,0.5976102,0.5,0.5976102,bucket_1,,False,0.034848,ETF_LS,773.5526899068403,-388.3230356042319,773.5526899068403,-388.3230356042319,773.5526899068403,0.0,-0.0,773.5526899068403,core_leveraged,0.5,1.0,1161.8757255110722,0.0754582691862173,3.0,1.0,0.0108639302583282,0.0004118731704859,primary,MSFU,False,246330.0,pair_cap,1.0,0.0,,False,0.0,0.0,1816.715277421614,1209.5312422730783,-607.1840351485358,1209.5312422730783,-607.1840351485358,haircut,haircut,654.8395519105418,0.6395475063985109,0.0,normal,False,False,False,1816.715277421614,1209.5312422730783,-607.1840351485358,2026-04-25
MUU,MU,False,,1.993612,384,ols,0.0511709999999999,200000,0.0511709999999999,False,False,250.1000061035156,0.0511709999999999,1.0,False,True,False,False,False,False,False,False,False,1.182346,1.177608,0.525713,0.52039,0.596878,0.589968,,missing,0.0,0.045,0.397569,0.389447,True,0.525713,0.474542,0.474542,2026-04-25,standard_letf,blended_realized_expected,0.474542,0.525713,0.0511709999999999,0.0382821346153846,0.0442889999999999,0.3880248963801357,0.44373889616018,0.4827362977169562,0.5315557399482901,0.6031134149859301,"{""e"":[0.338096,0.35328,0.368463,0.383647,0.398831,0.414015,0.429198,0.444382,0.459566,0.47475,0.489933,0.505117,0.520301,0.535485,0.550668,0.565852,0.581036,0.59622,0.611403,0.626587,0.641771],""c"":[4,2,9,12,22,19,29,37,45,29,41,30,21,24,17,18,11,11,7,4]}",0.397569,0.1281439999999999,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.0340048864498684,none,False,ok,90.0,52.0,weighted_empirical,2,short_favorable_positive,0.397569,,,simple_ito,0.397569,0.397569,0.397569,0.397569,simple_ito_fallback,-0.912779,0.0,479.0,252.0,0.498403,0.5980835999999999,0.5,0.5980835999999999,bucket_1,,False,0.0511709999999999,ETF_LS,0.0,-0.0,0.0,-0.0,8270.712039024605,0.0,-0.0,8270.712039024605,core_leveraged,0.5,1.0,0.0,0.2877262437236097,2.0,2.0,0.1160212351998285,0.0043985954299377,not_selected,MULL,False,246330.0,pair_cap,1.0,0.0,,False,0.0,0.0,15465.298270922374,10299.19849883355,-5166.099772088827,10299.19849883355,-5166.099772088827,haircut,haircut,15465.298270922374,0.0,0.0,normal,False,False,False,15465.298270922374,10299.19849883355,-5166.099772088827,2026-04-25
NFXL,NFLX,False,,1.995501,389,ols,0.048098,10000,0.048098,False,False,27.170000076293945,0.048098,1.0,False,True,False,False,False,False,False,False,False,0.671072,0.667702,0.236523,0.234619,0.332638,0.332979,,missing,0.0,0.045,0.1547,0.154925,True,0.236523,0.188425,0.188425,2026-04-25,standard_letf,blended_realized_expected,0.188425,0.236523,0.048098,0.1105682444444444,0.053341,-0.2055091689273648,0.1207764120922943,0.1673969507405829,0.2046288022901663,0.2428066803252544,"{""e"":[-0.247002,-0.221291,-0.19558,-0.16987,-0.144159,-0.118448,-0.092738,-0.067027,-0.041316,-0.015606,0.010105,0.035816,0.061527,0.087237,0.112948,0.138659,0.164369,0.19008,0.215791,0.241501,0.267212],""c"":[8,12,11,8,6,3,4,2,3,3,6,7,5,14,31,62,80,56,52,19]}",0.1547,0.081823,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.177160797429772,none,False,ok,90.0,45.0,weighted_empirical,2,short_favorable_positive,0.1547,,,simple_ito,0.1547,0.1547,0.1547,0.1547,simple_ito_fallback,-1.859506,0.0,479.0,252.0,0.49887525,0.5986503,0.5,0.5986503,bucket_1,,False,0.048098,ETF_LS,0.0,-0.0,0.0,-0.0,1563.259617051865,0.0,-0.0,1563.259617051865,core_leveraged,0.5,1.0,0.0,0.0997030813296964,2.0,2.0,0.0219542808411375,0.000832330385115,not_selected,NFLU,False,246330.0,pair_cap,1.0,0.0,,False,0.0,0.0,2503.4833790028792,1667.73557621367,-835.7478027892095,1667.73557621367,-835.7478027892095,haircut,haircut,2503.4833790028792,0.0,0.0,normal,False,False,False,2503.4833790028792,1667.73557621367,-835.7478027892095,2026-04-25
PALU,PANW,False,,2.005544,270,ols,0.062428,15000,0.062428,False,False,15.225000381469728,0.062428,1.0,False,True,False,False,False,False,False,False,False,0.712187,0.698083,0.258121,0.254214,0.350889,0.34814,,missing,0.0,0.045,0.169398,0.167461,True,0.258121,0.195693,0.195693,2026-04-25,standard_letf,blended_realized_expected,0.195693,0.258121,0.062428,0.0629441346153846,0.062428,0.1218753329743329,0.1636026442858124,0.1920648127609321,0.2239287696468072,0.2709403734685755,"{""e"":[0.090305,0.100674,0.111044,0.121413,0.131782,0.142151,0.15252,0.162889,0.173259,0.183628,0.193997,0.204366,0.214735,0.225104,0.235474,0.245843,0.256212,0.266581,0.27695,0.28732,0.297689],""c"":[6,3,6,9,21,17,29,35,30,46,30,44,28,25,18,8,15,14,6,2]}",0.169398,0.088723,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.0292420392203038,none,False,ok,90.0,52.0,weighted_empirical,2,short_favorable_positive,0.169398,,,simple_ito,0.169398,0.169398,0.169398,0.169398,simple_ito_fallback,-1.783801,0.0,479.0,252.0,0.501386,0.6016632,0.501386,0.6016632,bucket_1,,False,0.062428,ETF_LS,0.0,-0.0,0.0,-0.0,1593.175848907228,0.0,-0.0,1593.175848907228,core_leveraged,0.5,1.0,0.0,0.1139655685246203,2.0,2.0,0.0223539310671777,0.000847481918839,not_selected,PANG,True,246330.0,pair_cap,1.0,0.0,,False,0.0,0.0,2616.220486271945,1745.755609939426,-870.4648763325193,1745.755609939426,-870.4648763325193,haircut,haircut,2616.220486271945,0.0,0.0,normal,False,False,False,2616.220486271945,1745.755609939426,-870.4648763325193,2026-04-25
PLTU,PLTR,False,,1.991734,341,ols,0.052712,200000,0.052712,False,False,41.20000076293945,0.052712,1.0,False,True,False,False,False,False,False,False,False,1.081392,1.05998,0.511125,0.503362,0.534699,0.530878,,missing,0.0,0.045,0.326996,0.322975,True,0.511125,0.458413,0.458413,2026-04-25,standard_letf,blended_realized_expected,0.458413,0.511125,0.052712,0.07370312,0.0636925,0.317075844565429,0.392304717166503,0.4326965830617777,0.4783448734491828,0.5417444389483107,"{""e"":[0.268499,0.284658,0.300818,0.316977,0.333136,0.349295,0.365455,0.381614,0.397773,0.413932,0.430092,0.446251,0.46241,0.478569,0.494729,0.510888,0.527047,0.543206,0.559366,0.575525,0.591684],""c"":[3,3,10,12,9,19,20,32,37,46,34,36,37,25,29,13,12,7,5,3]}",0.326996,0.184129,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.0054659725918669,none,False,ok,90.0,50.0,weighted_empirical,2,short_favorable_positive,0.326996,,,simple_ito,0.326996,0.326996,0.326996,0.326996,simple_ito_fallback,-1.105365,0.0,479.0,252.0,0.4979335,0.5975202,0.5,0.5975202,bucket_1,,False,0.052712,ETF_LS,6653.666121263019,-3340.6399254433672,6653.666121263019,-3340.6399254433672,6653.666121263019,0.0,-0.0,6653.666121263019,core_leveraged,0.5,1.0,9994.306046706386,0.2580833354364324,4.0,1.0,0.0934501354041514,0.0035428802133315,primary,PTIR,False,246330.0,pair_cap,1.0,0.0,,False,0.0,0.0,20405.337364190746,13584.765293214266,-6820.57207097648,13584.765293214266,-6820.57207097648,haircut,haircut,10411.03131748436,0.4897888169320522,0.0,normal,False,False,False,20405.337364190746,13584.765293214266,-6820.57207097648,2026-04-25
QCMU,QCOM,False,,2.007851,209,ols,,0,0.0,False,True,19.1200008392334,,1.0,False,False,False,False,False,False,False,True,False,0.673157,0.677901,0.224216,0.225135,0.339763,0.34086,,missing,0.0,0.045,0.162155,0.162911,True,0.213626,0.224216,0.213626,2026-04-25,standard_letf,blended_realized_expected,0.224216,0.213626,0.0,0.0291088399999999,0.022095,0.11483226041676,0.1663029811450451,0.1993711889975372,0.2295787564503584,0.2714423413376781,"{""e"":[0.079551,0.090283,0.101014,0.111746,0.122477,0.133209,0.14394,0.154672,0.165403,0.176135,0.186866,0.197598,0.208329,0.219061,0.229792,0.240524,0.251255,0.261986,0.272718,0.283449,0.294181],""c"":[3,7,4,11,10,16,13,27,30,39,30,33,36,37,23,25,15,21,7,5]}",0.162155,0.062061,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.2356585935261645,mean_reversion,False,incomplete_regime,90.0,50.0,weighted_empirical,2,short_favorable_positive,0.162155,,,simple_ito,0.162155,0.162155,0.162155,0.162155,simple_ito_fallback,-1.830941,0.0,479.0,252.0,0.50196275,1.0,0.50196275,1.0,bucket_1,,False,,ETF_LS,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,core_leveraged,0.5,1.0,0.0,-inf,1.0,,0.0,0.0,not_selected,QCMU,False,,,1.0,0.0,,False,0.0,0.0,1710.9988826788888,1142.1545873069142,-568.8442953719743,1142.1545873069142,-568.8442953719743,haircut,haircut,1710.9988826788888,0.0,0.0,normal,False,False,False,1710.9988826788888,1142.1545873069142,-568.8442953719743,2026-04-25
