date,source,n_pairs,n_keep_open,gross_sum,gross_b4,n_b4,n_held_in,n_screened,edge_source,n_edge_fallback,ok,error
2026-02-27,prod_replay,24,37,4076246.610886531,2246.61088653249,2,0,392,net_decay_annual,391,True,
2026-02-28,prod_replay,24,33,4076245.4043278303,2245.404327830586,2,2,392,net_decay_annual,391,True,
2026-03-02,prod_replay,38,40,4076245.4810710503,2245.4810710500965,2,2,392,net_decay_annual,391,True,
2026-03-03,prod_replay,29,32,4076244.5080473227,2244.5080473230396,2,2,392,net_decay_annual,392,True,
2026-03-04,prod_replay,124,26,4076245.095363386,2245.095363386398,2,2,392,net_decay_annual,392,True,
2026-03-05,prod_replay,129,26,4200000.0,126000.0,1,2,392,net_decay_annual,392,True,
2026-03-06,prod_replay,134,28,4076218.0367895267,2218.0367895270806,2,1,392,net_decay_annual,392,True,
2026-03-10,prod_replay,123,30,4076186.268149239,2186.2681492401375,2,2,392,net_decay_annual,392,True,
2026-03-11,prod_replay,134,27,4200000.0,126000.0,1,2,392,net_decay_annual,392,True,
2026-03-12,prod_replay,130,28,4075208.135694308,1208.1356943082026,2,1,392,net_decay_annual,392,True,
2026-03-18,prod_replay,133,23,4200000.0,126000.0,1,2,395,net_decay_annual,395,True,
2026-03-20,prod_replay,118,32,4200000.0,126000.0,1,1,395,net_decay_annual,395,True,
2026-03-21,prod_replay,124,27,4200000.0,126000.0,1,1,396,net_decay_annual,396,True,
2026-03-23,prod_replay,168,25,4200000.000000001,126000.0,1,1,383,net_decay_annual,383,True,
2026-03-24,prod_replay,172,21,4200000.000000001,126000.0,1,1,383,net_decay_annual,383,True,
2026-03-25,prod_replay,168,24,4200000.000000001,126000.0,1,1,383,net_decay_annual,383,True,
2026-03-26,prod_replay,170,22,4200000.0,126000.0,1,1,383,net_decay_annual,383,True,
2026-03-27,prod_replay,167,31,4200000.000000001,126000.0,1,1,383,net_decay_annual,383,True,
2026-03-28,prod_replay,174,25,4200000.0,126000.0,1,1,383,net_decay_annual,383,True,
2026-03-31,prod_replay,167,27,4200000.0,126000.0,1,1,388,net_decay_annual,388,True,
2026-04-01,prod_replay,203,20,3915801.2140690545,1244.9218642731887,2,1,389,net_decay_annual,388,True,
2026-04-02,prod_replay,203,20,3932643.510760885,1266.3404268187096,2,2,389,net_decay_annual,388,True,
2026-04-03,prod_replay,202,20,4002992.3571899133,2867.9089468535917,3,2,393,net_decay_annual,392,True,
2026-04-04,prod_replay,202,20,4002999.3443293544,2874.8977252027285,3,3,393,net_decay_annual,392,True,
2026-04-07,prod_replay,217,13,3983240.9298679694,8025.464353403149,5,3,396,net_decay_annual,392,True,
2026-04-08,prod_replay,218,14,3992860.653939441,8025.871504567211,5,5,396,net_decay_annual,392,True,
2026-04-09,prod_replay,219,11,3694492.627583678,5836.708430826468,4,5,396,net_decay_annual,392,True,
2026-04-10,prod_replay,217,15,3783353.2236120906,5836.316764010027,4,4,396,net_decay_annual,395,True,
2026-04-11,prod_replay,220,16,3575865.8244990045,3660.385245307438,3,4,399,net_decay_annual,398,True,
2026-04-14,prod_replay,217,19,3847007.8620215235,3660.995562267496,3,3,399,net_decay_annual,398,True,
2026-04-15,prod_replay,219,14,4035510.7892344245,3635.6832013502762,3,3,399,net_decay_annual,398,True,
2026-04-16,prod_replay,216,15,3851418.361880147,2179.591090363702,2,3,398,net_decay_annual,397,True,
2026-04-17,archived_proposed_fallback,259,17,3746529.9349503247,1871529.9349503247,8,8,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-04-18,archived_proposed_fallback,258,18,3746529.9349503247,1871529.9349503247,8,8,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-04-20,archived_proposed_fallback,287,18,3745864.8485947917,1870864.8485947915,14,14,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-04-21,archived_proposed_fallback,290,18,3737224.837551253,1862224.8375512536,15,15,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-04-22,prod_replay,240,17,4027033.6149526755,9304.67171094376,6,2,444,net_decay_annual,440,True,
2026-04-23,archived_proposed_fallback,245,19,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-04-24,archived_proposed_fallback,241,17,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-04-25,prod_replay,248,6,3553025.9645362357,111784.21680500293,8,6,421,net_edge_p50_annual,0,True,
2026-04-26,prod_replay,235,6,3289027.7021905063,110252.85770064713,8,8,419,net_edge_p50_annual,0,True,
2026-04-27,prod_replay,230,6,2736990.2688924195,9450.845617703266,6,8,420,net_edge_p50_annual,0,True,
2026-04-28,archived_proposed_fallback,254,5,2500000.0000000005,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-04-29,archived_proposed_fallback,252,2,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-04-30,archived_proposed_fallback,258,4,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-01,archived_proposed_fallback,209,38,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-02,archived_proposed_fallback,210,38,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-03,archived_proposed_fallback,209,39,2500000.0000000005,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-04,archived_proposed_fallback,219,37,2500000.0000000005,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-05,archived_proposed_fallback,230,39,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-06,archived_proposed_fallback,233,35,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-07,archived_proposed_fallback,232,37,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-08,archived_proposed_fallback,234,38,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-09,archived_proposed_fallback,234,38,2500000.0,0.0,0,0,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-11,archived_proposed_fallback,246,43,2985008.8253023606,208508.2516029302,10,10,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-12,archived_proposed_fallback,249,45,2964176.4445111398,208217.3775184317,12,12,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-13,archived_proposed_fallback,242,83,330282.7681931632,16682.76819316318,9,9,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-14,archived_proposed_fallback,244,87,2621629.4753801106,163398.19490549172,8,8,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-15,archived_proposed_fallback,246,81,1950136.9889938524,59634.00001525879,11,11,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-16,archived_proposed_fallback,239,85,1982836.9253062648,64000.0,10,10,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-18,archived_proposed_fallback,235,87,2298556.5046077003,64000.00000000001,12,12,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-19,archived_proposed_fallback,239,74,287030.8173740312,6400.000000000001,12,12,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-20,archived_proposed_fallback,252,62,2197098.6875801994,65999.99999999997,11,11,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-21,archived_proposed_fallback,248,57,2200591.748046066,65999.99999999999,12,12,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-22,archived_proposed_fallback,238,74,2216442.1639727633,60465.00012874603,10,10,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-23,archived_proposed_fallback,233,78,2159632.11340764,60540.00005722045,10,10,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-24,archived_proposed_fallback,234,78,2162532.1357694985,60540.00005722045,10,10,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-25,archived_proposed_fallback,231,78,2156270.414722611,60540.00005722046,11,11,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-26,archived_proposed_fallback,240,65,2313704.406004214,66000.0,11,11,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-27,archived_proposed_fallback,240,73,2174367.57000144,66000.0,11,11,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-28,archived_proposed_fallback,234,97,1937248.397080582,59300.00004768371,11,11,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-29,archived_proposed_fallback,243,88,1955915.0772180767,65999.99999999997,10,10,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-05-30,archived_proposed_fallback,235,92,2367144.41161189,65999.99999999999,11,11,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-01,archived_proposed_fallback,245,81,2033024.1492871055,66000.0,10,10,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-02,archived_proposed_fallback,242,91,1822344.6231956093,50709.399890899665,10,10,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-03,archived_proposed_fallback,250,87,1875730.059364147,56471.0000038147,10,10,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-04,archived_proposed_fallback,245,77,2124646.162233953,66000.0,9,9,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-05,archived_proposed_fallback,250,76,2202335.469614146,66000.00000000001,12,12,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-06,archived_proposed_fallback,241,90,2395917.053361078,65999.99999999999,12,12,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-09,archived_proposed_fallback,251,69,1986618.451555675,64225.38515623923,13,13,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-10,archived_proposed_fallback,251,68,1998804.100616593,65999.99999999999,13,13,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-11,archived_proposed_fallback,253,59,2091672.9804645332,66000.0,13,13,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-12,archived_proposed_fallback,257,59,2209275.689952206,67999.99999999999,13,13,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-13,archived_proposed_fallback,246,72,2181066.352460035,68000.0,12,12,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-14,archived_proposed_fallback,251,65,2208448.6951816543,67999.99999999999,12,12,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-16,archived_proposed_fallback,254,83,2188392.6591911823,68000.0,13,13,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
