date,plan_date,n_pairs,turnover_step,turnover_usd,txn_cost_usd,target_planned_gross_usd,target_tradeable_gross_usd,deployed_gross_usd,untradeable_plan_gross_usd,blocked_pairs,n_added,n_exited,n_resize_candidates,n_resized,equity
2026-03-02,2026-02-28,24,2.1499999999999995,2257499.9999999995,5103.515833639555,2257500.0,2257500.0,2257500.0,0.0,1,24,0,0,0,1044896.4841663605
2026-03-06,2026-03-05,125,3.1615089339362807,3325602.11898725,7334.583637425123,2247268.08973993,2176342.2043169443,2349737.810639199,70925.88542298554,3,111,11,13,13,1037906.3883346352
2026-03-13,2026-03-12,125,0.6876954240752209,715519.1934203644,1585.108499268305,2240199.616587292,2116592.0326328287,2343637.7258550487,123607.58395446325,1,12,13,91,46,1040368.2015413325
2026-03-20,2026-03-18,132,0.7139391179522974,751827.140788376,1743.193208243346,2261496.0865971018,2236685.2962345695,2332556.6565301046,24810.79036253225,2,16,11,88,51,1050115.4517206412
2026-03-27,2026-03-26,168,1.1048425670353093,1166613.7867727964,2697.6415420349285,2258662.0716475174,2191358.037065921,2415634.753187575,67304.0345815965,1,38,7,114,91,1047842.8568986708
2026-04-10,2026-04-09,213,1.791592028757437,1904171.2095110798,4286.625595229776,2278447.519539255,2252715.1299969573,2335954.7005525865,25732.389542297926,0,45,1,156,138,1055456.40674861
2026-04-17,2026-04-16,217,0.6656889147222098,701513.0436743521,1568.8717300473147,2273518.895602274,2195048.9183608848,2494182.5091167837,78469.97724138945,0,7,10,183,134,1055881.7773872896
2026-04-24,2026-04-23,245,3.1403711749225662,3281832.0871018427,7437.365897560388,4030469.1182353785,3872508.121328244,4116636.4101717537,157960.99690713454,3,45,25,183,153,1031343.3346785681
2026-05-01,2026-04-30,251,0.7054389688325094,744797.5708487694,1693.7318661238896,4124863.1837554593,4066778.6608520756,4033479.1148775974,58084.52290338371,25,13,4,205,97,1061415.3361120874
2026-05-08,2026-05-07,244,3.420181576510853,3661265.9683173066,8351.06525940373,4158891.1279509803,4158891.1279509803,4100516.4562345166,0.0,3,5,24,211,183,1063528.091428993
2026-05-15,2026-05-14,260,3.4049177261975676,3727546.7479241327,8269.849095529069,4342972.752458532,4342972.752458532,4494396.257340372,0.0,12,16,16,218,195,1080194.4998915717
2026-05-22,2026-05-21,265,0.6701695589158674,732142.3673289758,1579.9524763269467,4343840.954894998,4343840.954894997,4580713.073684236,9.313225746154785e-10,124,9,21,191,80,1087101.9911063793
2026-05-29,2026-05-28,265,0.11285455558082975,128725.42964783589,288.7314427203558,4563862.808319145,4563862.808319145,4870017.508714361,0.0,146,2,33,179,43,1143536.533800173
2026-06-05,2026-06-04,265,1.7594361959824323,2018209.2703050838,4602.221661579835,4726204.125642677,4726204.125642677,5076691.99488252,0.0,90,4,24,193,95,1179910.0905295673
2026-06-12,2026-06-11,271,0.9127874313902185,1057245.1012447115,2364.182060971277,4832242.960904617,4832242.960904617,5042072.542125719,0.0,52,9,21,192,85,1208724.2793186316
2026-06-26,2026-06-25,275,1.2032398849758443,1561140.4985454965,3582.449001170224,5053983.379056305,5034322.863243147,4746299.431951511,19660.515813157894,56,10,45,189,145,1259913.395762906
