ETF,Underlying,sleeve,price_pnl_usd,borrow_cost_usd,margin_cost_usd,txn_cost_usd,pnl_usd,end_weight
COYY,COIN,yieldboost,-7796.6850275003335,1723.1632325784235,31.851129422029658,4426.838608066274,-13978.537997567062,0.16534496328671033
EOSU,EOSE,core_leveraged,-11150.135379699917,367.82149131169007,23.20043866749021,1196.8004879207786,-12737.957797599876,0.05294826464662339
SNDU,SNDK,core_leveraged,-9563.270646398862,129.53770060176632,13.400315786168163,534.5948798572109,-10240.803542644007,0.024328853615901282
IREG,IREN,core_leveraged,-2763.0928892118127,333.58869128682096,20.475681258415182,512.6264753765251,-3629.7837371335736,0.035051732241412524
IRE,IREN,core_leveraged,-2413.772359458084,307.9768149447757,14.693065103632613,486.5018421731532,-3222.9440816796455,0.029880269819206655
RDWU,RDW,core_leveraged,-1248.8909353264767,171.73644930160347,9.520309128152885,999.1746886041566,-2429.3223823603894,0.0
ONDL,ONDS,core_leveraged,-1609.634026711507,272.8130205257261,11.815721931805122,501.99571103553774,-2396.2584802045762,0.015159302270484372
LITZ,LITE,inverse_decay_bucket4,-1994.7725002224174,147.22560824686107,0.0,124.87929074091348,-2266.877399210192,0.018020758245896898
POEL,POET,core_leveraged,-1474.33465816514,79.98843154283456,6.857437427078944,653.929430733209,-2215.1099578682624,0.0
SNOU,SNOW,core_leveraged,-1919.827595679721,10.487637669788478,6.397284150485715,168.18670127341778,-2104.899218773413,0.003158631713594821
CIFG,CIFR,core_leveraged,-1378.3753130312039,320.07345541587625,13.188067794858686,391.86524230987936,-2103.502078551818,0.015382573109342587
SMUP,SMR,core_leveraged,-1035.974399901879,155.65259089074664,6.881244638374554,736.1254340564061,-1934.6336694874062,0.0
CRWG,CRWV,core_leveraged,-1051.7782725053935,114.94280293383814,21.982903809835022,518.5987377621478,-1707.3027170112146,0.024058103049441587
NBIG,NBIS,core_leveraged,-1067.8364798289772,117.62465759100095,21.344838956306724,487.7306415904924,-1694.5366179667772,0.012963825052112039
QBTX,QBTS,core_leveraged,-689.3147569784733,377.0409272806673,23.57904405549296,599.3458010582052,-1689.2805293728388,0.01769662535555095
NBIL,NBIS,core_leveraged,-1102.001163683513,206.87267636894268,16.529211661286315,353.2340208782136,-1678.6370725919555,0.01135132215494911
NVTX,NVTS,core_leveraged,185.48901275834905,816.527527179269,34.25524873633822,971.6512207566584,-1636.9449839139165,0.05373496382915728
CORD,CRWV,inverse_decay_bucket4,-1050.7436069533246,188.65633148146898,0.0,299.4542473311904,-1538.8541857659839,0.019973835277580645
MVLL,MRVL,core_leveraged,-1272.3090495602041,39.80442466195494,3.755253389726271,58.29717471929615,-1374.1659023311815,0.0033013763582965166
IREZ,IREN,inverse_decay_bucket4,-813.4569544797668,278.719515477843,0.0,256.0945379617357,-1348.2710079193453,0.0
COIA,COIN,core_leveraged,-995.8621179139742,62.39742001565686,6.569474143095957,137.85722148674387,-1202.6862335594708,0.0056369196570313805
CRWL,CRWD,core_leveraged,-1078.2602556822155,18.656068925604608,0.8292764746011226,33.8451129724622,-1131.5907140548834,0.0
BBYY,BABA,yieldboost,-365.5462872536112,69.34478514178247,2.2161525306691674,677.9001795687068,-1115.0074044947696,0.0016704022925821094
HUTG,HUT,core_leveraged,-384.2838675238472,232.6921121237953,18.23797669110503,475.27093929620156,-1110.4848956349492,0.015437186763460347
CRMX,CRML,core_leveraged,711.9278005779154,689.9113975074993,10.795184334085548,1041.5990867127948,-1030.3778679764641,0.0
TXXS,TSUI,core_leveraged,-607.5706872904577,108.08300217579024,5.838202246568197,278.2029931935089,-999.6948849063251,0.003724547854532104
SMU,SMR,core_leveraged,-264.9490373419937,145.39196084409662,10.819566001405686,577.6699948303221,-998.8305590178181,0.0
MSTZ,MSTR,inverse_decay_bucket4,-675.914284150691,61.43748527026685,0.0,232.75872557607426,-970.110494997032,0.003977925984789678
IONL,IONQ,core_leveraged,-604.1727692505017,151.0151571696201,7.213040041844316,196.3860440214995,-958.7870104834657,0.0070982718166845175
