k_tr,n_rebal,mean_interval,min_interval,max_interval,mean_tr_est,mean_vcr,first_rebal,last_rebal,etf,und
k+2.25,32,12.0625,8,16,0.9707188709677419,0.16991025806451612,2024-12-12,2026-06-22,MSTZ,MSTR
k0,33,11.363636363636363,8,14,0.96320359375,0.16939537500000001,2024-12-12,2026-06-03,MSTZ,MSTR
k-1,34,10.970588235294118,7,15,0.9595298181818182,0.17266487878787876,2024-12-12,2026-06-01,MSTZ,MSTR
k+2.25,29,13.620689655172415,8,21,0.9742837142857143,0.22944510714285712,2024-11-27,2026-06-03,CONI,COIN
k0,31,12.548387096774194,8,19,0.9765124333333335,0.2346294333333333,2024-11-27,2026-06-03,CONI,COIN
k-1,32,12.25,8,19,0.977853129032258,0.23647435483870968,2024-11-27,2026-06-05,CONI,COIN
k+2.25,10,12.9,9,17,0.9824591111111111,0.17198244444444444,2025-12-22,2026-06-22,CORD,CRWV
k0,10,12.2,11,14,0.9665462222222223,0.1717868888888889,2025-12-22,2026-06-08,CORD,CRWV
k-1,10,11.7,11,12,0.9757932222222223,0.178895,2025-12-22,2026-06-02,CORD,CRWV
k+2.25,4,11.0,9,12,1.0684996666666666,0.08495833333333332,2026-04-20,2026-06-08,NBIZ,NBIS
k0,4,12.0,12,12,1.0693143333333335,0.08391566666666667,2026-04-20,2026-06-12,NBIZ,NBIS
k-1,4,12.5,12,13,1.0677853333333334,0.085765,2026-04-20,2026-06-15,NBIZ,NBIS
k+2.25,9,13.666666666666666,10,20,0.9494026250000001,0.184428375,2026-01-02,2026-06-17,QBTZ,QBTS
k0,10,11.9,10,14,0.9695791111111112,0.18274166666666666,2026-01-02,2026-06-12,QBTZ,QBTS
k-1,10,11.7,10,13,0.9552975555555556,0.17204022222222223,2026-01-02,2026-06-10,QBTZ,QBTS
k+2.25,7,13.428571428571429,12,15,0.9892185000000001,0.31062033333333333,2026-02-12,2026-06-17,DAMD,AMD
k0,7,13.285714285714286,10,19,0.9743339999999999,0.3155045,2026-02-12,2026-06-04,DAMD,AMD
k-1,7,12.428571428571429,10,19,0.9540791666666667,0.33139416666666666,2026-02-12,2026-05-21,DAMD,AMD
k+2.25,50,11.14,6,16,0.9755420400000001,0.27242498000000004,2024-03-28,2026-06-04,UVIX,SVIX
k0,54,10.37037037037037,6,15,0.9669256111111111,0.27669848148148146,2024-03-28,2026-06-12,UVIX,SVIX
k-1,54,10.222222222222221,5,14,0.9644732037037037,0.2758657592592592,2024-03-28,2026-06-01,UVIX,SVIX
