LegA,LegB,Leverage,Group,w_a,w_b,borrow_a,borrow_b,cagr_a,cagr_b,vol_a,vol_b,cagr_port_hist,vol_port_hist,mc_prob_hist,mc_first_hist,mc_cagr_p50,mc_cagr_p10,mc_cagr_p90,mc_dd_p50,mc_dd_p10,mc_dd_p90
SDS,SPY,2.0,SPX,-0.3333333333333333,-0.6666666666666666,0.0,0.0,-0.2512470651206635,0.10720971135471302,0.38532501023410476,0.18621021266578922,-0.012440138816723234,0.011674108220249087,0.0,,-0.03842291735900455,-0.04212053744718082,-0.0347484160938755,-0.17858032674654234,-0.19370242387862419,-0.16211876790632915
QID,QQQ,2.0,NDX,-0.3333333333333333,-0.6666666666666666,0.0,0.0,-0.346838131810945,0.10467987845535864,0.4395982427032448,0.27024218021007507,-0.009308406240393863,0.013995868029979172,0.0,,-0.03602538762646573,-0.03826804260749074,-0.033681980804587244,-0.16772743754285757,-0.17727721300639782,-0.15740796586696296
DXD,DIA,2.0,DJIA,-0.3333333333333333,-0.6666666666666666,0.027431999999999998,0.0,-0.23430901694985584,0.09057199710605413,0.3629850233074759,0.18603993112419115,-0.020469066647892054,0.01263629128791914,0.0,,-0.04599999773812341,-0.04809258521770943,-0.04386939698970678,-0.20987949821606067,-0.21828169038149667,-0.20102021938131057
TWM,IWM,2.0,RUT,-0.3333333333333333,-0.6666666666666666,0.065442,0.0,-0.279926502452049,0.08547699995396085,0.49638683794154487,0.23947707528121054,-0.026147853457068604,0.013294800446409263,0.0,,-0.05525746739475429,-0.05846362297599637,-0.051857489164498505,-0.2475264204925337,-0.2602396293165088,-0.23374028849630507
SCO,USO,2.0,WTI,-0.3333333333333333,-0.6666666666666666,0.35087999999999997,0.05306999999999999,-0.22511525726552895,-0.09727491255480869,0.7023555151844078,0.36349572695595067,-0.12742850185165278,0.044531080277124574,0.3757828810020877,2019-01-23 00:00:00-05:00,-0.17955130028119204,-0.20226612161047466,-0.15853178573939367,-0.6307469189002234,-0.6796975667556504,-0.5814719258923974
MSTZ,MSTR,2.0,MSTR,-0.3333333333333333,-0.6666666666666666,0.74344,0.0,-0.9372466635141837,0.1066001380186965,1.6928226570726614,0.753198169810769,-0.1967999838645127,0.025106916422961704,0.0,,-0.19558484929458125,-0.20428134665266817,-0.18665855898238431,-0.6634504268314896,-0.6808216211516105,-0.6440669436186695
NVDQ,NVDA,2.0,NVDA,-0.3333333333333333,-0.6666666666666666,0.152096,0.0,-0.8692506290328117,0.37188846960789435,0.9817692083876096,0.5957476351757368,-0.06685929044684769,0.019699516843978335,0.0,,-0.12550771416376583,-0.1347323446242355,-0.1147533342496508,-0.4890002851345648,-0.5158323569859387,-0.45710285215411056
BTCZ,IBIT,2.0,BTC,-0.3333333333333333,-0.6666666666666666,0.225,0.0,-0.7276580728191345,0.41867762422795485,0.9579953681021949,0.4999785421433998,-0.08900956309053998,0.012107423667986188,0.0,,-0.1272368891065342,-0.13233096582492515,-0.12191672140492597,-0.4935811778533798,-0.5080204759653518,-0.47786075159797786
ETQ,ETHA,2.0,ETH,-0.3333333333333333,-0.6666666666666666,1.248258,0.0,-0.8863872113525038,-0.039250508424358066,1.4929506328501223,0.7378148537279824,-0.32952920756942006,0.020827718841938476,0.0,,-0.25198051935961835,-0.26014618787519767,-0.24365861182883847,-0.7656279944537575,-0.7779708197340724,-0.7523931072485934
CRCD,CRCL,2.0,CRCL,-0.3333333333333333,-0.6666666666666666,0.9705779999999999,0.0,1.9008269284178332,-0.09651285179777613,1.69620434912782,1.184397675584233,-0.28854684141363507,0.03750720236323348,0.0,,-0.4167748096361602,-0.4263651333060907,-0.4068896577263458,-0.9324580771008302,-0.9377327773576893,-0.9265269220203333
CORD,CRWV,2.0,CRWV,-0.3333333333333333,-0.6666666666666666,3.064306,0.0,-0.7674985780888457,2.1764226832789917,1.8219494692522573,1.2277071420151615,-0.6407425350523513,0.020374392098265585,0.0,,-0.6537987112249357,-0.6566902671924262,-0.6506518926786223,-0.9950072119210035,-0.9952091873245216,-0.9947739108656607
TSLQ,TSLA,2.0,TSLA,-0.3333333333333333,-0.6666666666666666,0.017759999999999998,0.0,-0.6366280299485735,0.4362594662470465,0.955958114859278,0.5772442331437512,-0.07457727284687898,0.14197313524724678,0.0,,-0.12262493154983628,-0.16741640657887524,-0.07418997761570315,-0.5086287871021726,-0.6189603523767523,-0.379690870479479
SQQQ,QQQ,3.0,NDX,-0.25,-0.75,0.0,0.0,-0.5264454782564874,0.10466597460514149,0.6118544711374847,0.2702421855069428,-0.008355272376838974,0.008018787096012265,0.0,,-0.03626316115891509,-0.03907456706947758,-0.033368955810254085,-0.16886497086690205,-0.1808064762910297,-0.15647405365393027
SPXS,SPY,3.0,SPX,-0.25,-0.75,0.10089000000000001,0.0,-0.454910001534941,0.10720703966135381,0.5487792782341427,0.18621020685570933,-0.03137637714513808,0.009445865215384751,0.0,,-0.06413508692220143,-0.06878565663288871,-0.05932872200613478,-0.28266121704381825,-0.29973665959884155,-0.2638226218576336
TZA,IWM,3.0,RUT,-0.25,-0.75,0.08702599999999999,0.0,-0.5043795262893211,0.08546585973975818,0.7107302292013752,0.23947691914471983,-0.022792059958411492,0.009293183269189844,0.0,,-0.058143754950290394,-0.06116764949259185,-0.054986743238659444,-0.25888486008454786,-0.2705279550793324,-0.24617604714816332
SOXS,SOXX,3.0,SOX,-0.25,-0.75,0.0,0.0,-0.6820721543685866,0.12346202158224306,0.895023929147996,0.3301466066909824,-0.0026250441264774604,0.014584773385655263,0.0,,-0.031098575965596398,-0.03682379491246257,-0.02509644309458422,-0.1484816834949328,-0.17325630229269984,-0.12173683519183148
FAZ,XLF,3.0,FIN,-0.25,-0.75,0.17132799999999998,0.0,-0.5515354026813173,0.06024938875527619,0.7518609494954062,0.28453473436279453,-0.03956490579803418,0.033894364002146654,0.0,,-0.08022076553800228,-0.08640234152523571,-0.0736059123293887,-0.34235199597393434,-0.3642487963905701,-0.3176358328145759
LABD,XBI,3.0,BIOTECH,-0.25,-0.75,0.17742599999999997,0.0,-0.5380589918166763,0.11040714419983444,0.9917851581203986,0.3056955129073562,-0.049100374901301924,0.01621539084295237,0.0,,-0.07588792905965341,-0.08158018134108472,-0.06995508055670635,-0.32677888167086716,-0.346970449620248,-0.30398031028869654
TECS,XLK,3.0,TECH,-0.25,-0.75,0.14710399999999998,0.0,-0.5699216105706479,0.09708014697769163,0.6580387207233888,0.2592874540277389,-0.03884653237166713,0.01725093770793881,0.0,,-0.07120813046654206,-0.07571179978063086,-0.06663211149665207,-0.3089522449839844,-0.3251133072943853,-0.29199207994057763
SDOW,DIA,3.0,DJIA,-0.25,-0.75,0.024664,0.0,-0.38415990325726423,0.09057515381232895,0.49110616851002387,0.18603991746892953,-0.01625935704240533,0.006297928867134467,0.0,,-0.04449207317296838,-0.046348140100204396,-0.042612113540284546,-0.20348270480123126,-0.21109559487395024,-0.195535603403562
MSTZ,MSTW,2.0,MSTZ_MSTW,-0.333,-0.667,0.74344,0.035,-0.9371656773965917,-0.9053019460808376,1.6928176975411633,0.7082304411061137,0.04030906452727767,0.08257200240154546,0.0,,0.43114180745902697,0.3732125691905,0.4850093167435119,-0.03155303928053099,-0.04284166773769578,-0.024904676436516157
