ETF,Underlying,pnl_usd,txn_cost_usd,n_trades,n_enter,n_exit,n_cadence_resize,n_cadence_rebal,n_off_cadence_resize,n_resize_unknown_cadence,membership_trade_share,cadence_hit_rate,n_model_cadence_days_in_window,median_days_between_trades,mean_days_between_trades,rapid_churn_events,realism_flags
APLZ,APLD,1525.3308887478845,32.59058711307961,2,1,1,0,0,0,0,1.0,,0,45.0,45.0,0,ok
SMZ,SMR,634.641007939767,13.600048817924185,2,1,1,0,0,0,0,1.0,,0,57.0,57.0,0,ok
CORD,CRWV,434.5822287086246,50.66048068942126,7,3,2,0,0,0,2,0.7142857142857143,,0,13.5,16.833333333333332,0,membership_dominated
CBRZ,CBRS,350.2996045284256,11.820527337750336,1,1,0,0,0,0,0,1.0,,0,,,0,ok
CLSZ,CLSK,252.64444819092373,48.65385977417145,4,1,1,0,0,0,2,0.5,,0,23.0,34.666666666666664,0,ok
BEZ,BE,251.7495120189353,20.432084471444057,4,2,2,0,0,0,0,1.0,,0,7.0,19.0,0,membership_dominated
LITZ,LITE,97.026340810161,2.958308404247048,1,1,0,0,0,0,0,1.0,,0,,,0,ok
CRCD,CRCL,87.81983382972936,17.010811274548054,3,1,1,0,0,0,1,0.6666666666666666,,0,32.0,32.0,0,ok
SNDQ,SNDK,3.6387316696122864,2.216890850783167,1,1,0,0,0,0,0,1.0,,0,,,0,ok
DAMD,AMD,1.375125173408323,6.32012523300082,1,1,0,0,0,0,0,1.0,,0,,,0,ok
ETHD,ETHA,-5.955770545669375,8.541252222155805,2,1,1,0,0,0,0,1.0,,0,7.0,7.0,0,ok
CONI,COIN,-6.632449861089045,0.4002888862135338,1,1,0,0,0,0,0,1.0,,0,,,0,ok
MSDD,MSTR,-34.642618944594986,9.608229167595812,3,1,0,0,0,0,2,0.3333333333333333,,0,23.0,23.0,0,ok
MSTZ,MSTR,-42.13430427197406,10.9851099797455,4,1,0,0,0,0,3,0.25,,0,23.0,28.666666666666668,0,ok
NBIZ,NBIS,-125.74575919087648,11.33281246438852,3,1,0,0,0,0,2,0.3333333333333333,,0,26.5,26.5,0,ok
RKLZ,RKLB,-130.13462111476596,6.627468985511577,5,1,1,0,0,0,3,0.4,,0,13.5,12.75,0,ok
QBTZ,QBTS,-148.8432823547281,19.34388653417274,4,1,0,0,0,0,3,0.25,,0,15.0,14.0,0,ok
ASTN,ASTS,-237.60853628761973,11.299514482516582,2,1,0,0,0,0,1,0.5,,0,9.0,9.0,0,ok
IREZ,IREN,-1156.7600031780055,8.555427972645939,3,1,0,0,0,0,2,0.3333333333333333,,0,31.5,31.5,0,ok
